年,週,年齡別,縣市,急性腹瀉急診就診人次
2007,02,65+,基隆市,12
2007,02,7-12,嘉義市,5
2007,02,7-12,嘉義縣,7
2007,02,7-12,桃園市,19
2007,02,7-12,屏東縣,14
2007,02,7-12,南投縣,9
2007,02,7-12,彰化縣,5
2007,02,7-12,宜蘭縣,10
2007,02,7-12,新北市,54
2007,02,7-12,新竹市,7
2007,02,7-12,新竹縣,7
2007,02,7-12,苗栗縣,6
2007,02,7-12,高雄市,77
2007,02,7-12,台北市,59
2007,02,7-12,台中市,76
2007,02,7-12,台南市,10
2007,02,7-12,台東縣,4
2007,02,7-12,雲林縣,15
2007,02,7-12,基隆市,9
2007,03,0-6,嘉義市,30
2007,03,0-6,嘉義縣,18
2007,03,0-6,未填寫,4
2007,03,0-6,桃園市,126
2007,03,0-6,屏東縣,36
2007,03,0-6,南投縣,31
2007,03,0-6,彰化縣,12
2007,03,0-6,宜蘭縣,15
2007,03,0-6,新北市,141
2007,03,0-6,新竹市,54
2007,03,0-6,新竹縣,16
2007,03,0-6,花蓮縣,15
2007,03,0-6,苗栗縣,17
2007,03,0-6,高雄市,229
2007,03,0-6,台北市,229
2007,03,0-6,台中市,235
2007,03,0-6,台南市,41
2007,03,0-6,台東縣,11
2007,03,0-6,雲林縣,33
2007,03,0-6,基隆市,9
2007,03,13-18,嘉義市,4
2007,03,13-18,嘉義縣,4
2007,03,13-18,未填寫,1
2007,03,13-18,桃園市,39
2007,03,13-18,屏東縣,17
2007,03,13-18,南投縣,9
2007,03,13-18,彰化縣,1
2007,03,13-18,宜蘭縣,13
2007,03,13-18,新北市,56
2007,03,13-18,新竹市,14
2007,03,13-18,新竹縣,7
2007,03,13-18,花蓮縣,8
2007,03,13-18,苗栗縣,5
2007,03,13-18,高雄市,64
2007,03,13-18,台北市,74
2007,03,13-18,台中市,81
2007,03,13-18,台南市,15
2007,03,13-18,台東縣,1
2007,03,13-18,雲林縣,6
2007,03,13-18,基隆市,13
2007,03,19-64,嘉義市,33
2007,03,19-64,嘉義縣,50
2007,03,19-64,未填寫,13
2007,03,19-64,桃園市,326
2007,03,19-64,屏東縣,114
2007,03,19-64,南投縣,84
2007,03,19-64,彰化縣,39
2007,03,19-64,宜蘭縣,69
2007,03,19-64,新北市,590
2007,03,19-64,新竹市,140
2007,03,19-64,新竹縣,90
2007,03,19-64,花蓮縣,39
2007,03,19-64,苗栗縣,102
2007,03,19-64,高雄市,601
2007,03,19-64,台北市,715
2007,03,19-64,台中市,688
2007,03,19-64,台南市,159
2007,03,19-64,台東縣,11
2007,03,19-64,雲林縣,57
2007,03,19-64,基隆市,56
2007,03,65+,嘉義市,8
2007,03,65+,嘉義縣,9
2007,03,65+,未填寫,1
2007,03,65+,桃園市,49
2007,03,65+,屏東縣,25
2007,03,65+,南投縣,17
2007,03,65+,彰化縣,9
2007,03,65+,宜蘭縣,22
2007,03,65+,新北市,52
2007,03,65+,新竹市,12
2007,03,65+,新竹縣,11
2007,03,65+,花蓮縣,6
2007,03,65+,苗栗縣,14
2007,03,65+,高雄市,95
2007,03,65+,台北市,125
2007,03,65+,台中市,93
2007,03,65+,台南市,24
2007,03,65+,台東縣,7
2007,03,65+,雲林縣,16
2007,03,65+,基隆市,10
2007,03,7-12,嘉義市,12
2007,03,7-12,嘉義縣,2
2007,03,7-12,未填寫,1
2007,03,7-12,桃園市,20
2007,03,7-12,屏東縣,12
2007,03,7-12,南投縣,10
2007,03,7-12,彰化縣,1
2007,03,7-12,宜蘭縣,5
2007,03,7-12,新北市,52
2007,03,7-12,新竹市,6
