Date,County,Town,Village,VillageID,VillageLon,VillageLat,BI,BILv,HI,HILv,CI,CILv,LI,LILv,AI,Con100HH
2024/06/03,台南市,北區,重興里,6703400-019,120.226742075671,23.0041543468447,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,善化區,光文里,6701900-003,120.304102097772,23.1389874924824,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,安平區,金城里,6703600-002,120.149964946305,22.9960387389251,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,北區,中樓里,6703400-032,120.216607455012,23.0035862487795,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,安平區,金城里,6703600-002,120.149964946305,22.9960387389251,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,中西區,法華里,6703700-009,120.209236970645,22.982512374471,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,北區,重興里,6703400-019,120.226742075671,23.0041543468447,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,南區,喜北里,6703300-015,120.176534718344,22.9479560834429,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,將軍區,None,None,None,None,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,東區,文聖里,6703200-045,120.243096440111,22.9838567047298,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,西港區,劉厝里,6701400-008,120.178937335178,23.1295750591285,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,安南區,城南里,6703500-030,120.117935671317,23.053749577152,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,麻豆區,中興里,6700700-006,120.245959602732,23.179601792578,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,中西區,None,None,None,None,6.000,2,4.000,2,12.000,4,200.000,5,0.0000,6.00
2024/06/03,台南市,七股區,樹林里,6701500-015,120.148697035719,23.1136138254757,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,東區,大同里,6703200-038,120.212520066765,22.9845042896648,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,將軍區,鯤溟里,6701600-018,120.087947086031,23.1885606169381,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,中西區,None,None,None,None,2.000,1,2.000,1,8.333,3,100.000,4,0.0000,2.00
2024/06/03,台南市,北門區,None,None,None,None,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,安平區,怡平里,6703600-006,120.177204204906,22.9941356863567,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,東區,崇成里,6703200-035,120.227251176413,22.9692774562727,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,永康區,永康里,6703100-003,120.258219745826,23.0232295625797,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,東區,和平里,6703200-014,120.233886506574,22.9752623899885,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,安南區,佃東里,6703500-022,120.184303236729,23.0710193920249,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,南區,新昌里,6703300-006,120.196391197671,22.9849182601915,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,東區,虎尾里,6703200-025,120.23595420573,22.9787818659113,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,新市區,新和里,6702000-002,120.291010627136,23.0754366504115,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,西港區,南海里,6701400-002,120.195018503368,23.1064683994117,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,安南區,安順里,6703500-002,120.220024439464,23.0506064885953,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,安南區,城中里,6703500-029,120.128711454909,23.0631588636746,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,安南區,城中里,6703500-029,120.128711454909,23.0631588636746,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
2024/06/03,台南市,安南區,青草里,6703500-032,120.106787285405,23.0749378838714,0.000,0,0.000,0,0.000,0,0.000,0,0.0000,0.00
