年,週,年齡別,縣市,手足口病急診就診人次,縣市別代碼
2007,24,16+,花蓮縣,1,10015
2007,24,1~3,嘉義縣,1,10010
2007,24,1~3,屏東縣,1,10013
2007,24,1~3,新北市,5,65000
2007,24,1~3,新竹市,3,10018
2007,24,1~3,花蓮縣,4,10015
2007,24,1~3,高雄市,4,64000
2007,24,1~3,台北市,6,63000
2007,24,1~3,台中市,4,66000
2007,24,1~3,台南市,6,67000
2007,24,1~3,台東縣,1,10014
2007,24,1~3,基隆市,2,10017
2007,24,4~6,南投縣,1,10008
2007,24,4~6,新北市,1,65000
2007,24,4~6,花蓮縣,2,10015
2007,24,4~6,高雄市,2,64000
2007,24,4~6,台北市,5,63000
2007,24,4~6,台東縣,1,10014
2007,24,7~15,花蓮縣,1,10015
2007,24,7~15,台北市,7,63000
2007,24,7~15,台中市,2,66000
2007,25,0,桃園市,1,68000
2007,25,0,彰化縣,1,10007
2007,25,0,新竹市,1,10018
2007,25,0,花蓮縣,1,10015
2007,25,0,高雄市,1,64000
2007,25,0,台北市,1,63000
2007,25,0,台中市,6,66000
2007,25,0,台南市,1,67000
2007,25,0,基隆市,2,10017
2007,25,16+,彰化縣,1,10007
2007,25,16+,花蓮縣,1,10015
2007,25,1~3,嘉義縣,1,10010
2007,25,1~3,桃園市,4,68000
2007,25,1~3,屏東縣,3,10013
2007,25,1~3,南投縣,2,10008
2007,25,1~3,彰化縣,5,10007
2007,25,1~3,宜蘭縣,1,10002
2007,25,1~3,新北市,3,65000
2007,25,1~3,新竹市,1,10018
2007,25,1~3,新竹縣,1,10004
2007,25,1~3,花蓮縣,8,10015
2007,25,1~3,苗栗縣,2,10005
2007,25,1~3,高雄市,8,64000
2007,25,1~3,台北市,9,63000
2007,25,1~3,台中市,5,66000
2007,25,1~3,台南市,3,67000
2007,25,1~3,基隆市,2,10017
2007,25,4~6,彰化縣,2,10007
2007,25,4~6,新北市,3,65000
2007,25,4~6,高雄市,3,64000
2007,25,4~6,台北市,8,63000
2007,25,4~6,台中市,3,66000
2007,25,4~6,基隆市,2,10017
2007,25,7~15,南投縣,1,10008
2007,25,7~15,台中市,1,66000
2007,26,0,桃園市,2,68000
2007,26,0,屏東縣,1,10013
2007,26,0,彰化縣,2,10007
2007,26,0,新北市,2,65000
2007,26,0,高雄市,2,64000
2007,26,0,台中市,1,66000
2007,26,0,台南市,1,67000
2007,26,16+,桃園市,1,68000
2007,26,1~3,嘉義縣,1,10010
2007,26,1~3,桃園市,5,68000
2007,26,1~3,彰化縣,4,10007
2007,26,1~3,新北市,3,65000
2007,26,1~3,新竹市,1,10018
2007,26,1~3,花蓮縣,3,10015
2007,26,1~3,高雄市,4,64000
2007,26,1~3,台北市,7,63000
2007,26,1~3,台中市,7,66000
2007,26,1~3,台南市,3,67000
2007,26,1~3,台東縣,2,10014
2007,26,1~3,基隆市,1,10017
2007,26,4~6,嘉義縣,1,10010
2007,26,4~6,桃園市,2,68000
2007,26,4~6,彰化縣,1,10007
2007,26,4~6,宜蘭縣,2,10002
2007,26,4~6,新竹市,3,10018
2007,26,4~6,花蓮縣,1,10015
2007,26,4~6,高雄市,5,64000
2007,26,4~6,台北市,4,63000
2007,26,4~6,台中市,4,66000
2007,26,4~6,台東縣,1,10014
2007,26,4~6,基隆市,1,10017
2007,26,7~15,桃園市,1,68000
2007,26,7~15,彰化縣,1,10007
2007,26,7~15,新北市,1,65000
2007,26,7~15,新竹市,1,10018
2007,26,7~15,高雄市,2,64000
2007,26,7~15,台南市,1,67000
2007,26,7~15,基隆市,2,10017
2007,27,0,新北市,1,65000
2007,27,0,新竹市,1,10018
2007,27,0,高雄市,1,64000
2007,27,0,台北市,2,63000
2007,27,16+,高雄市,1,64000
2007,27,16+,台北市,1,63000
2007,27,1~3,桃園市,2,68000
2007,27,1~3,屏東縣,1,10013
2007,27,1~3,南投縣,1,10008
2007,27,1~3,彰化縣,9,10007
2007,27,1~3,澎湖縣,2,10016
2007,27,1~3,新北市,9,65000
2007,27,1~3,新竹市,3,10018
2007,27,1~3,花蓮縣,6,10015
2007,27,1~3,金門縣,1,09020
2007,27,1~3,高雄市,3,64000
2007,27,1~3,台北市,4,63000
2007,27,1~3,台中市,4,66000
2007,27,1~3,台南市,4,67000
2007,27,1~3,台東縣,1,10014
2007,27,1~3,雲林縣,2,10009
2007,27,1~3,基隆市,1,10017
2007,27,4~6,桃園市,2,68000
2007,27,4~6,彰化縣,2,10007
2007,27,4~6,宜蘭縣,2,10002
2007,27,4~6,新北市,9,65000
2007,27,4~6,新竹市,3,10018
2007,27,4~6,花蓮縣,5,10015
2007,27,4~6,高雄市,2,64000
2007,27,4~6,台北市,4,63000
2007,27,4~6,台中市,2,66000
2007,27,4~6,台南市,2,67000
2007,27,4~6,基隆市,3,10017
2007,27,7~15,新北市,2,65000
2007,27,7~15,新竹市,1,10018
2007,27,7~15,台北市,4,63000
2007,28,0,桃園市,2,68000
2007,28,0,屏東縣,2,10013
2007,28,0,花蓮縣,1,10015
2007,28,0,台北市,1,63000
2007,28,0,台中市,1,66000
2007,28,1~3,嘉義市,1,10020
2007,28,1~3,桃園市,1,68000
2007,28,1~3,屏東縣,2,10013
2007,28,1~3,南投縣,4,10008
2007,28,1~3,彰化縣,2,10007
2007,28,1~3,澎湖縣,1,10016
2007,28,1~3,新北市,1,65000
2007,28,1~3,新竹市,5,10018
2007,28,1~3,花蓮縣,5,10015
2007,28,1~3,苗栗縣,1,10005
2007,28,1~3,高雄市,4,64000
2007,28,1~3,台北市,9,63000
2007,28,1~3,台中市,5,66000
2007,28,1~3,台南市,8,67000
2007,28,1~3,台東縣,1,10014
2007,28,1~3,雲林縣,1,10009
2007,28,1~3,基隆市,1,10017
2007,28,4~6,桃園市,1,68000
2007,28,4~6,新竹市,3,10018
2007,28,4~6,金門縣,1,09020
2007,28,4~6,苗栗縣,1,10005
2007,28,4~6,高雄市,1,64000
2007,28,4~6,台北市,2,63000
2007,28,4~6,台中市,3,66000
2007,28,4~6,基隆市,1,10017
2007,28,7~15,台北市,2,63000
2007,28,7~15,台中市,1,66000
2007,28,7~15,台東縣,1,10014
2007,29,0,桃園市,1,68000
2007,29,0,屏東縣,1,10013
2007,29,0,新竹市,1,10018
2007,29,0,新竹縣,1,10004
2007,29,0,花蓮縣,1,10015
2007,29,0,高雄市,3,64000
2007,29,0,台中市,1,66000
2007,29,0,基隆市,1,10017
2007,29,1~3,南投縣,3,10008
2007,29,1~3,彰化縣,5,10007
2007,29,1~3,澎湖縣,1,10016
2007,29,1~3,宜蘭縣,1,10002
2007,29,1~3,新北市,4,65000
2007,29,1~3,新竹市,1,10018
2007,29,1~3,新竹縣,1,10004
2007,29,1~3,花蓮縣,4,10015
2007,29,1~3,高雄市,7,64000
2007,29,1~3,台北市,12,63000
2007,29,1~3,台中市,6,66000
2007,29,1~3,台南市,6,67000
2007,29,1~3,基隆市,1,10017
2007,29,4~6,桃園市,1,68000
2007,29,4~6,彰化縣,2,10007
2007,29,4~6,宜蘭縣,1,10002
2007,29,4~6,新竹市,3,10018
2007,29,4~6,高雄市,1,64000
2007,29,4~6,台北市,4,63000
2007,29,4~6,台中市,2,66000
2007,29,4~6,台南市,1,67000
2007,29,4~6,基隆市,1,10017
2007,29,7~15,屏東縣,1,10013
2007,29,7~15,花蓮縣,2,10015
2007,29,7~15,高雄市,2,64000
2007,29,7~15,台北市,1,63000
2007,29,7~15,基隆市,1,10017
2007,30,0,桃園市,1,68000
2007,30,0,南投縣,1,10008
2007,30,0,新竹市,4,10018
2007,30,0,花蓮縣,1,10015
2007,30,0,台北市,1,63000
2007,30,0,台中市,1,66000
2007,30,1~3,桃園市,6,68000
2007,30,1~3,屏東縣,1,10013
2007,30,1~3,彰化縣,2,10007
2007,30,1~3,宜蘭縣,2,10002
2007,30,1~3,新北市,3,65000
2007,30,1~3,新竹市,3,10018
2007,30,1~3,新竹縣,1,10004
2007,30,1~3,花蓮縣,5,10015
2007,30,1~3,苗栗縣,1,10005
2007,30,1~3,高雄市,4,64000
2007,30,1~3,台北市,4,63000
2007,30,1~3,台中市,8,66000
2007,30,1~3,台南市,5,67000
2007,30,1~3,台東縣,1,10014
2007,30,1~3,基隆市,1,10017
2007,30,4~6,桃園市,2,68000
2007,30,4~6,南投縣,1,10008
2007,30,4~6,新竹市,1,10018
2007,30,4~6,花蓮縣,2,10015
2007,30,4~6,苗栗縣,1,10005
2007,30,4~6,台北市,2,63000
2007,30,4~6,台中市,2,66000
2007,30,4~6,台南市,1,67000
2007,30,7~15,雲林縣,1,10009
2007,31,0,嘉義縣,1,10010
2007,31,0,彰化縣,1,10007
2007,31,0,新北市,2,65000
2007,31,0,新竹市,1,10018
2007,31,0,台北市,2,63000
2007,31,0,台中市,4,66000
2007,31,1~3,嘉義市,3,10020
2007,31,1~3,嘉義縣,1,10010
2007,31,1~3,桃園市,4,68000
2007,31,1~3,屏東縣,1,10013
2007,31,1~3,南投縣,1,10008
2007,31,1~3,彰化縣,7,10007
2007,31,1~3,新北市,7,65000
2007,31,1~3,新竹市,2,10018
2007,31,1~3,花蓮縣,3,10015
2007,31,1~3,苗栗縣,1,10005
2007,31,1~3,高雄市,4,64000
2007,31,1~3,台北市,8,63000
2007,31,1~3,台中市,8,66000
2007,31,1~3,台南市,10,67000
2007,31,1~3,基隆市,2,10017
2007,31,4~6,嘉義市,1,10020
2007,31,4~6,桃園市,6,68000
2007,31,4~6,南投縣,2,10008
2007,31,4~6,新竹市,1,10018
2007,31,4~6,新竹縣,1,10004
2007,31,4~6,花蓮縣,1,10015
2007,31,4~6,苗栗縣,1,10005
2007,31,4~6,高雄市,4,64000
2007,31,4~6,台北市,1,63000
2007,31,4~6,台中市,4,66000
2007,31,4~6,台南市,2,67000
2007,31,7~15,新竹市,1,10018
2007,31,7~15,高雄市,1,64000
2007,31,7~15,台北市,1,63000
2007,31,7~15,台南市,1,67000
2007,32,0,彰化縣,1,10007
2007,32,0,宜蘭縣,1,10002
2007,32,0,新北市,1,65000
2007,32,0,高雄市,2,64000
2007,32,0,台北市,2,63000
2007,32,0,台中市,3,66000
2007,32,0,台南市,2,67000
2007,32,16+,台北市,1,63000
2007,32,1~3,嘉義市,2,10020
2007,32,1~3,嘉義縣,1,10010
2007,32,1~3,桃園市,7,68000
2007,32,1~3,南投縣,2,10008
2007,32,1~3,彰化縣,4,10007
2007,32,1~3,宜蘭縣,1,10002
2007,32,1~3,新北市,6,65000
2007,32,1~3,新竹市,4,10018
2007,32,1~3,新竹縣,3,10004
2007,32,1~3,花蓮縣,4,10015
2007,32,1~3,苗栗縣,2,10005
2007,32,1~3,高雄市,4,64000
2007,32,1~3,台北市,9,63000
2007,32,1~3,台中市,9,66000
2007,32,1~3,台南市,3,67000
2007,32,1~3,雲林縣,3,10009
2007,32,1~3,基隆市,2,10017
2007,32,4~6,嘉義市,1,10020
2007,32,4~6,桃園市,1,68000
2007,32,4~6,彰化縣,1,10007
2007,32,4~6,新北市,3,65000
2007,32,4~6,花蓮縣,1,10015
2007,32,4~6,金門縣,1,09020
2007,32,4~6,高雄市,5,64000
2007,32,4~6,台北市,3,63000
2007,32,4~6,台中市,3,66000
2007,32,4~6,台南市,2,67000
2007,32,4~6,基隆市,1,10017
2007,32,7~15,桃園市,1,68000
2007,32,7~15,台北市,1,63000
2007,33,0,桃園市,3,68000
2007,33,0,新北市,1,65000
2007,33,0,高雄市,1,64000
2007,33,0,台北市,3,63000
2007,33,0,台中市,3,66000
2007,33,0,基隆市,1,10017
2007,33,1~3,嘉義市,2,10020
2007,33,1~3,嘉義縣,2,10010
2007,33,1~3,桃園市,4,68000
2007,33,1~3,屏東縣,1,10013
2007,33,1~3,南投縣,1,10008
2007,33,1~3,彰化縣,2,10007
2007,33,1~3,宜蘭縣,1,10002
2007,33,1~3,新北市,6,65000
2007,33,1~3,新竹市,6,10018
2007,33,1~3,苗栗縣,1,10005
2007,33,1~3,高雄市,4,64000
2007,33,1~3,台北市,5,63000
2007,33,1~3,台中市,2,66000
2007,33,1~3,台南市,3,67000
2007,33,1~3,台東縣,3,10014
2007,33,1~3,雲林縣,2,10009
2007,33,4~6,嘉義市,1,10020
2007,33,4~6,嘉義縣,2,10010
2007,33,4~6,桃園市,1,68000
2007,33,4~6,屏東縣,1,10013
2007,33,4~6,彰化縣,1,10007
2007,33,4~6,宜蘭縣,1,10002
2007,33,4~6,新北市,2,65000
2007,33,4~6,苗栗縣,3,10005
2007,33,4~6,高雄市,1,64000
2007,33,4~6,台北市,1,63000
2007,33,4~6,台南市,1,67000
2007,33,7~15,新北市,1,65000
2007,33,7~15,台中市,1,66000
2007,34,0,彰化縣,2,10007
2007,34,0,新竹縣,1,10004
2007,34,0,高雄市,1,64000
2007,34,0,台北市,1,63000
2007,34,0,台南市,3,67000
2007,34,16+,台中市,1,66000
2007,34,1~3,嘉義市,1,10020
2007,34,1~3,嘉義縣,2,10010
2007,34,1~3,桃園市,11,68000
2007,34,1~3,南投縣,1,10008
2007,34,1~3,彰化縣,13,10007
2007,34,1~3,新北市,3,65000
2007,34,1~3,新竹市,9,10018
2007,34,1~3,新竹縣,2,10004
2007,34,1~3,花蓮縣,1,10015
2007,34,1~3,高雄市,10,64000
2007,34,1~3,台北市,5,63000
2007,34,1~3,台中市,7,66000
2007,34,1~3,台南市,2,67000
2007,34,1~3,雲林縣,2,10009
2007,34,1~3,基隆市,2,10017
2007,34,4~6,嘉義市,1,10020
2007,34,4~6,桃園市,1,68000
2007,34,4~6,南投縣,1,10008
2007,34,4~6,彰化縣,2,10007
2007,34,4~6,新北市,3,65000
2007,34,4~6,新竹市,1,10018
2007,34,4~6,新竹縣,1,10004
2007,34,4~6,苗栗縣,1,10005
2007,34,4~6,高雄市,4,64000
2007,34,4~6,台北市,1,63000
2007,34,4~6,台中市,1,66000
2007,34,4~6,台南市,1,67000
2007,34,7~15,桃園市,2,68000
2007,34,7~15,基隆市,1,10017
2007,35,0,桃園市,3,68000
2007,35,0,彰化縣,2,10007
2007,35,0,高雄市,1,64000
2007,35,0,台北市,2,63000
2007,35,0,台南市,1,67000
2007,35,1~3,嘉義市,3,10020
2007,35,1~3,嘉義縣,2,10010
2007,35,1~3,桃園市,5,68000
2007,35,1~3,南投縣,5,10008
2007,35,1~3,彰化縣,3,10007
2007,35,1~3,新北市,2,65000
2007,35,1~3,新竹市,6,10018
2007,35,1~3,新竹縣,1,10004
2007,35,1~3,高雄市,4,64000
2007,35,1~3,台北市,5,63000
2007,35,1~3,台中市,4,66000
2007,35,1~3,台南市,3,67000
2007,35,1~3,雲林縣,2,10009
2007,35,1~3,基隆市,2,10017
2007,35,4~6,嘉義市,1,10020
2007,35,4~6,彰化縣,1,10007
2007,35,4~6,新北市,2,65000
2007,35,4~6,新竹市,2,10018
2007,35,4~6,花蓮縣,1,10015
2007,35,4~6,台北市,3,63000
2007,35,4~6,台中市,3,66000
2007,35,4~6,台南市,2,67000
2007,35,4~6,雲林縣,1,10009
2007,35,4~6,基隆市,3,10017
2007,35,7~15,桃園市,1,68000
2007,35,7~15,花蓮縣,1,10015
2007,35,7~15,台南市,2,67000
2007,36,0,嘉義市,1,10020
2007,36,0,宜蘭縣,1,10002
2007,36,0,新北市,1,65000
2007,36,0,新竹市,3,10018
2007,36,0,台北市,1,63000
2007,36,0,基隆市,1,10017
2007,36,1~3,嘉義市,1,10020
2007,36,1~3,嘉義縣,1,10010
2007,36,1~3,桃園市,13,68000
2007,36,1~3,南投縣,1,10008
2007,36,1~3,彰化縣,4,10007
2007,36,1~3,新北市,3,65000
2007,36,1~3,新竹市,5,10018
2007,36,1~3,新竹縣,1,10004
2007,36,1~3,花蓮縣,1,10015
2007,36,1~3,高雄市,4,64000
2007,36,1~3,台北市,6,63000
2007,36,1~3,台中市,8,66000
2007,36,1~3,台南市,4,67000
2007,36,1~3,雲林縣,5,10009
2007,36,1~3,基隆市,1,10017
2007,36,4~6,桃園市,2,68000
2007,36,4~6,彰化縣,1,10007
2007,36,4~6,新北市,2,65000
2007,36,4~6,新竹市,2,10018
2007,36,4~6,高雄市,2,64000
2007,36,4~6,台北市,3,63000
2007,36,4~6,台中市,3,66000
2007,36,4~6,台南市,2,67000
2007,36,4~6,雲林縣,1,10009
2007,36,7~15,桃園市,1,68000
2007,36,7~15,南投縣,1,10008
2007,36,7~15,新北市,1,65000
2007,36,7~15,新竹市,3,10018
2007,36,7~15,高雄市,1,64000
2007,36,7~15,台北市,1,63000
2007,36,7~15,台南市,1,67000
2007,37,0,嘉義市,1,10020
2007,37,0,桃園市,1,68000
2007,37,0,新北市,3,65000
2007,37,0,台中市,1,66000
2007,37,0,台南市,2,67000
2007,37,16+,桃園市,1,68000
2007,37,1~3,嘉義市,2,10020
2007,37,1~3,嘉義縣,1,10010
2007,37,1~3,桃園市,8,68000
2007,37,1~3,屏東縣,1,10013
2007,37,1~3,南投縣,2,10008
2007,37,1~3,彰化縣,4,10007
2007,37,1~3,新北市,10,65000
2007,37,1~3,新竹市,5,10018
2007,37,1~3,新竹縣,2,10004
2007,37,1~3,花蓮縣,2,10015
2007,37,1~3,苗栗縣,2,10005
2007,37,1~3,高雄市,6,64000
2007,37,1~3,台北市,4,63000
2007,37,1~3,台中市,8,66000
2007,37,1~3,台南市,2,67000
2007,37,1~3,雲林縣,6,10009
2007,37,1~3,基隆市,1,10017
2007,37,4~6,嘉義市,2,10020
2007,37,4~6,嘉義縣,1,10010
2007,37,4~6,桃園市,1,68000
2007,37,4~6,彰化縣,1,10007
2007,37,4~6,新北市,2,65000
2007,37,4~6,新竹市,1,10018
2007,37,4~6,新竹縣,1,10004
2007,37,4~6,台南市,1,67000
2007,37,4~6,雲林縣,5,10009
2007,37,7~15,桃園市,1,68000
2007,37,7~15,台中市,1,66000
2007,37,7~15,台南市,1,67000
2007,37,7~15,雲林縣,1,10009
2007,38,0,南投縣,2,10008
2007,38,0,高雄市,1,64000
2007,38,0,台中市,2,66000
2007,38,1~3,嘉義市,3,10020
2007,38,1~3,嘉義縣,3,10010
2007,38,1~3,桃園市,7,68000
2007,38,1~3,屏東縣,1,10013
2007,38,1~3,南投縣,4,10008
2007,38,1~3,彰化縣,1,10007
2007,38,1~3,新北市,7,65000
2007,38,1~3,新竹市,6,10018
2007,38,1~3,新竹縣,3,10004
2007,38,1~3,花蓮縣,2,10015
2007,38,1~3,高雄市,6,64000
2007,38,1~3,台北市,7,63000
2007,38,1~3,台中市,8,66000
2007,38,1~3,台南市,1,67000
2007,38,1~3,雲林縣,7,10009
2007,38,1~3,基隆市,2,10017
2007,38,4~6,嘉義市,3,10020
2007,38,4~6,嘉義縣,2,10010
2007,38,4~6,桃園市,4,68000
2007,38,4~6,南投縣,1,10008
2007,38,4~6,新北市,1,65000
2007,38,4~6,新竹市,3,10018
2007,38,4~6,花蓮縣,1,10015
2007,38,4~6,高雄市,2,64000
2007,38,4~6,台北市,6,63000
2007,38,4~6,台中市,3,66000
2007,38,4~6,台南市,1,67000
2007,38,7~15,嘉義縣,1,10010
2007,38,7~15,宜蘭縣,1,10002
2007,38,7~15,新竹市,1,10018
2007,38,7~15,新竹縣,1,10004
2007,38,7~15,台北市,1,63000
2007,38,7~15,台南市,1,67000
2007,39,0,嘉義縣,1,10010
2007,39,0,桃園市,3,68000
2007,39,0,新北市,2,65000
2007,39,0,高雄市,2,64000
2007,39,0,台北市,3,63000
2007,39,0,台中市,5,66000
2007,39,0,台南市,1,67000
2007,39,0,雲林縣,1,10009
2007,39,1~3,嘉義市,2,10020
2007,39,1~3,嘉義縣,3,10010
2007,39,1~3,桃園市,11,68000
2007,39,1~3,南投縣,2,10008
2007,39,1~3,彰化縣,2,10007
2007,39,1~3,澎湖縣,1,10016
2007,39,1~3,宜蘭縣,1,10002
2007,39,1~3,新北市,7,65000
2007,39,1~3,新竹市,7,10018
2007,39,1~3,新竹縣,2,10004
2007,39,1~3,花蓮縣,2,10015
2007,39,1~3,高雄市,8,64000
2007,39,1~3,台北市,12,63000
2007,39,1~3,台中市,9,66000
2007,39,1~3,台南市,6,67000
2007,39,1~3,台東縣,1,10014
2007,39,1~3,雲林縣,7,10009
2007,39,1~3,基隆市,5,10017
2007,39,4~6,嘉義縣,1,10010
2007,39,4~6,桃園市,2,68000
2007,39,4~6,南投縣,1,10008
2007,39,4~6,彰化縣,3,10007
2007,39,4~6,宜蘭縣,1,10002
2007,39,4~6,新北市,3,65000
2007,39,4~6,新竹市,1,10018
2007,39,4~6,新竹縣,1,10004
2007,39,4~6,花蓮縣,1,10015
2007,39,4~6,苗栗縣,1,10005
2007,39,4~6,高雄市,2,64000
2007,39,4~6,台北市,4,63000
2007,39,4~6,台中市,10,66000
2007,39,4~6,台南市,4,67000
2007,39,4~6,基隆市,2,10017
2007,39,7~15,嘉義市,1,10020
2007,39,7~15,嘉義縣,1,10010
2007,39,7~15,新北市,2,65000
2007,39,7~15,台北市,1,63000
2007,39,7~15,台中市,2,66000
2007,39,7~15,台南市,1,67000
2007,39,7~15,基隆市,1,10017
2007,40,0,桃園市,1,68000
2007,40,0,南投縣,1,10008
2007,40,0,彰化縣,3,10007
2007,40,0,高雄市,2,64000
2007,40,0,台中市,4,66000
2007,40,16+,苗栗縣,1,10005
2007,40,1~3,嘉義市,4,10020
2007,40,1~3,嘉義縣,3,10010
2007,40,1~3,桃園市,4,68000
