年,週,年齡別,縣市,手足口病急診就診人次,縣市別代碼
2007,01,0,台中市,1,66000
2007,01,1~3,新北市,1,65000
2007,01,1~3,高雄市,1,64000
2007,01,4~6,台北市,1,63000
2007,02,1~3,彰化縣,1,10007
2007,02,1~3,台北市,1,63000
2007,03,0,台北市,1,63000
2007,03,0,台中市,1,66000
2007,03,1~3,新北市,1,65000
2007,03,1~3,台北市,1,63000
2007,04,1~3,高雄市,1,64000
2007,04,7~15,台中市,1,66000
2007,05,7~15,嘉義市,1,10020
2007,06,1~3,雲林縣,1,10009
2007,07,0,新竹市,1,10018
2007,07,1~3,台中市,1,66000
2007,08,1~3,桃園市,1,68000
2007,08,1~3,南投縣,1,10008
2007,08,1~3,高雄市,1,64000
2007,08,1~3,台北市,1,63000
2007,08,1~3,台中市,1,66000
2007,08,4~6,苗栗縣,1,10005
2007,08,7~15,新北市,1,65000
2007,08,7~15,台北市,1,63000
2007,09,1~3,嘉義縣,1,10010
2007,10,0,新竹市,1,10018
2007,10,1~3,南投縣,1,10008
2007,10,1~3,台北市,1,63000
2007,10,4~6,桃園市,1,68000
2007,12,1~3,台南市,1,67000
2007,12,4~6,南投縣,1,10008
2007,13,1~3,台北市,2,63000
2007,13,1~3,台中市,3,66000
2007,13,4~6,台中市,2,66000
2007,13,7~15,台中市,1,66000
2007,13,7~15,台南市,1,67000
2007,14,16+,台北市,1,63000
2007,14,1~3,南投縣,1,10008
2007,14,1~3,台南市,1,67000
2007,14,1~3,台東縣,1,10014
2007,14,4~6,台中市,1,66000
2007,15,1~3,高雄市,1,64000
2007,15,1~3,台北市,1,63000
2007,16,16+,高雄市,1,64000
2007,16,1~3,新北市,1,65000
2007,16,1~3,花蓮縣,1,10015
2007,16,1~3,台北市,2,63000
2007,16,1~3,台南市,1,67000
2007,16,4~6,宜蘭縣,1,10002
2007,16,4~6,新竹縣,1,10004
2007,17,0,台北市,2,63000
2007,17,1~3,桃園市,1,68000
2007,17,1~3,南投縣,1,10008
2007,17,1~3,彰化縣,2,10007
2007,17,1~3,新竹市,2,10018
2007,17,1~3,花蓮縣,1,10015
2007,17,1~3,台中市,1,66000
2007,17,1~3,台東縣,1,10014
2007,18,0,新竹市,1,10018
2007,18,0,台北市,1,63000
2007,18,0,台東縣,1,10014
2007,18,1~3,屏東縣,2,10013
2007,18,1~3,花蓮縣,1,10015
2007,18,1~3,台北市,3,63000
2007,18,4~6,彰化縣,1,10007
2007,18,7~15,台北市,1,63000
2007,19,0,彰化縣,1,10007
2007,19,1~3,桃園市,1,68000
2007,19,1~3,彰化縣,3,10007
2007,19,1~3,新北市,1,65000
2007,19,1~3,新竹縣,1,10004
2007,19,1~3,花蓮縣,2,10015
2007,19,1~3,高雄市,1,64000
2007,19,1~3,台東縣,4,10014
2007,19,4~6,彰化縣,1,10007
2007,19,4~6,台南市,2,67000
2007,19,7~15,花蓮縣,2,10015
2007,20,0,彰化縣,1,10007
2007,20,0,台中市,2,66000
2007,20,0,台南市,1,67000
2007,20,0,台東縣,1,10014
2007,20,1~3,桃園市,1,68000
2007,20,1~3,屏東縣,1,10013
2007,20,1~3,南投縣,2,10008
2007,20,1~3,彰化縣,5,10007
2007,20,1~3,新北市,3,65000
2007,20,1~3,新竹市,1,10018
2007,20,1~3,高雄市,4,64000
2007,20,1~3,台北市,1,63000
2007,20,1~3,台中市,1,66000
2007,20,1~3,台南市,1,67000
2007,20,1~3,台東縣,1,10014
2007,20,1~3,雲林縣,2,10009
2007,20,4~6,彰化縣,2,10007
2007,20,4~6,台中市,1,66000
2007,20,4~6,台東縣,1,10014
2007,20,7~15,新北市,1,65000
2007,21,0,新北市,1,65000
2007,21,0,台北市,1,63000
2007,21,0,台中市,2,66000
2007,21,0,台東縣,1,10014
2007,21,1~3,桃園市,3,68000
2007,21,1~3,彰化縣,7,10007
2007,21,1~3,新北市,2,65000
2007,21,1~3,高雄市,2,64000
2007,21,1~3,台北市,1,63000
2007,21,1~3,雲林縣,1,10009
2007,21,4~6,彰化縣,1,10007
2007,21,4~6,花蓮縣,1,10015
2007,21,4~6,台北市,1,63000
2007,21,4~6,台南市,2,67000
2007,21,4~6,台東縣,1,10014
2007,22,0,彰化縣,2,10007
2007,22,0,新竹市,1,10018
2007,22,0,台中市,4,66000
2007,22,1~3,嘉義縣,1,10010
2007,22,1~3,桃園市,1,68000
2007,22,1~3,南投縣,2,10008
2007,22,1~3,彰化縣,3,10007
2007,22,1~3,宜蘭縣,1,10002
2007,22,1~3,新北市,2,65000
2007,22,1~3,新竹市,1,10018
2007,22,1~3,花蓮縣,1,10015
2007,22,1~3,高雄市,3,64000
2007,22,1~3,台北市,6,63000
2007,22,1~3,台中市,1,66000
2007,22,1~3,台南市,4,67000
2007,22,1~3,台東縣,3,10014
2007,22,1~3,雲林縣,2,10009
2007,22,1~3,基隆市,1,10017
2007,22,4~6,桃園市,1,68000
2007,22,4~6,彰化縣,1,10007
2007,22,4~6,宜蘭縣,1,10002
2007,22,4~6,新竹市,1,10018
2007,22,4~6,高雄市,1,64000
2007,22,4~6,台北市,3,63000
2007,22,4~6,台中市,1,66000
2007,22,7~15,基隆市,1,10017
2007,23,0,屏東縣,2,10013
2007,23,0,南投縣,1,10008
2007,23,0,新北市,1,65000
2007,23,1~3,桃園市,2,68000
2007,23,1~3,屏東縣,2,10013
2007,23,1~3,南投縣,1,10008
2007,23,1~3,彰化縣,8,10007
2007,23,1~3,新北市,2,65000
2007,23,1~3,新竹市,3,10018
2007,23,1~3,新竹縣,1,10004
