縣市別,鄉鎮別,年別,治療成功率
65000,土城區,2017,72.5
65000,中和區,2017,74
65000,五股區,2017,65.5
65000,平溪區,2017,66.7
65000,永和區,2017,73.1
65000,石門區,2017,80
65000,石碇區,2017,0
65000,汐止區,2017,74.7
65000,坪林區,2017,50
65000,板橋區,2017,72.2
65000,林口區,2017,72.4
65000,金山區,2017,100
65000,泰山區,2017,57.1
65000,烏來區,2017,66.7
65000,貢寮區,2017,100
65000,淡水區,2017,63.3
65000,深坑區,2017,81.8
65000,新店區,2017,69.8
65000,新莊區,2017,68.7
65000,瑞芳區,2017,72
65000,萬里區,2017,66.7
65000,樹林區,2017,77.8
65000,雙溪區,2017,100
65000,蘆洲區,2017,70.4
65000,鶯歌區,2017,69.8
65000,八里區,2016,76.9
65000,三芝區,2016,87.5
65000,三重區,2016,67.9
65000,三峽區,2016,74.2
65000,土城區,2016,75.6
65000,中和區,2016,77.6
65000,五股區,2016,76.9
65000,平溪區,2016,80
65000,永和區,2016,62.5
65000,石門區,2016,80
65000,石碇區,2016,0
65000,汐止區,2016,73.1
65000,坪林區,2016,50
65000,板橋區,2016,71.8
65000,林口區,2016,80
65000,金山區,2016,100
65000,泰山區,2016,80
65000,烏來區,2016,75
65000,貢寮區,2016,66.7
65000,淡水區,2016,75
65000,深坑區,2016,55.6
65000,新店區,2016,65.3
65000,新莊區,2016,73.1
65000,瑞芳區,2016,76.9
65000,萬里區,2016,71.4
65000,樹林區,2016,61.2
65000,雙溪區,2016,66.7
65000,蘆洲區,2016,74.5
65000,鶯歌區,2016,80.4
65000,八里區,2015,85.7
65000,三芝區,2015,100
65000,三重區,2015,74
65000,三峽區,2015,61.1
65000,土城區,2015,71.7
65000,中和區,2015,73.5
65000,五股區,2015,77.1
65000,平溪區,2015,57.1
65000,永和區,2015,74.4
65000,石碇區,2015,100
65000,汐止區,2015,75.5
65000,坪林區,2015,50
65000,板橋區,2015,69.8
65000,林口區,2015,75
65000,金山區,2015,40
65000,泰山區,2015,90.9
65000,烏來區,2015,50
65000,貢寮區,2015,0
65000,淡水區,2015,81.8
65000,深坑區,2015,53.8
65000,新店區,2015,68.5
65000,新莊區,2015,74.4
65000,瑞芳區,2015,75.9
65000,萬里區,2015,50
65000,樹林區,2015,77.9
65000,雙溪區,2015,50
65000,蘆洲區,2015,76.1
65000,鶯歌區,2015,77.8
65000,八里區,2014,83.3
65000,三芝區,2014,54.5
65000,三重區,2014,72.2
65000,三峽區,2014,73.5
65000,土城區,2014,74
65000,中和區,2014,74
65000,五股區,2014,78.9
65000,平溪區,2014,80
65000,永和區,2014,64.3
65000,石門區,2014,0
65000,石碇區,2014,50
65000,汐止區,2014,66.7
65000,板橋區,2014,79.7
65000,林口區,2014,65.4
65000,金山區,2014,87.5
65000,泰山區,2014,70.3
65000,烏來區,2014,70
65000,貢寮區,2014,66.7
65000,淡水區,2014,84.5
65000,深坑區,2014,75
65000,新店區,2014,68.4
65000,新莊區,2014,70.3
65000,瑞芳區,2014,55.2
65000,萬里區,2014,50
65000,樹林區,2014,73.9
65000,雙溪區,2014,66.7
65000,蘆洲區,2014,72.9
65000,鶯歌區,2014,74.6
65000,八里區,2013,71.4
65000,三芝區,2013,62.5
65000,三重區,2013,72.5
65000,三峽區,2013,57.4
65000,土城區,2013,73.6
65000,中和區,2013,74.1
65000,五股區,2013,83.3
65000,平溪區,2013,50
65000,永和區,2013,70.8
65000,石門區,2013,100
65000,石碇區,2013,83.3
65000,汐止區,2013,73.5
65000,坪林區,2013,100
65000,板橋區,2013,77.4
65000,林口區,2013,92.6
65000,金山區,2013,100
65000,泰山區,2013,75.9
65000,烏來區,2013,100
65000,貢寮區,2013,54.5
65000,淡水區,2013,72.1
65000,深坑區,2013,66.7
65000,新店區,2013,77
65000,新莊區,2013,75.9
65000,瑞芳區,2013,71.8
65000,萬里區,2013,70
65000,樹林區,2013,75.9
65000,雙溪區,2013,63.6
65000,蘆洲區,2013,80.6
65000,鶯歌區,2013,67.1
10002,三星鄉,2021,100
10002,大同鄉,2021,66.7
10002,五結鄉,2021,61.5
10002,冬山鄉,2021,72.7
10002,壯圍鄉,2021,87.5
10002,宜蘭市,2021,71
10002,南澳鄉,2021,90
10002,員山鄉,2021,85.7
10002,頭城鎮,2021,100
10002,礁溪鄉,2021,76.9
10002,羅東鎮,2021,76.9
10002,蘇澳鎮,2021,71.4
10002,三星鄉,2020,83.3
10002,大同鄉,2020,90
10002,五結鄉,2020,77.8
10002,冬山鄉,2020,86.7
10002,壯圍鄉,2020,90
10002,宜蘭市,2020,74.3
10002,南澳鄉,2020,100
10002,員山鄉,2020,63.6
10002,頭城鎮,2020,75
10002,礁溪鄉,2020,57.1
10002,羅東鎮,2020,85.7
10002,蘇澳鎮,2020,80
10002,三星鄉,2019,84.6
10002,大同鄉,2019,62.5
10002,五結鄉,2019,50
10002,冬山鄉,2019,63.6
10002,壯圍鄉,2019,100
10002,宜蘭市,2019,54.5
10002,南澳鄉,2019,83.3
10002,員山鄉,2019,77.8
10002,頭城鎮,2019,88.9
10002,礁溪鄉,2019,50
10002,羅東鎮,2019,85.7
10002,蘇澳鎮,2019,73.3
10002,三星鄉,2018,100
10002,大同鄉,2018,100
10002,五結鄉,2018,66.7
10002,冬山鄉,2018,76.5
10002,壯圍鄉,2018,57.1
10002,宜蘭市,2018,68.8
10002,南澳鄉,2018,72.7
10002,員山鄉,2018,41.7
10002,頭城鎮,2018,63.6
10002,礁溪鄉,2018,57.1
10002,羅東鎮,2018,94.1
10002,蘇澳鎮,2018,52.4
10002,三星鄉,2017,72.7
10002,大同鄉,2017,83.3
10002,五結鄉,2017,58.8
10002,冬山鄉,2017,80
10002,壯圍鄉,2017,60
10002,宜蘭市,2017,79.4
10002,南澳鄉,2017,80
10002,員山鄉,2017,80
10002,頭城鎮,2017,75
10002,礁溪鄉,2017,63.6
10002,羅東鎮,2017,68
10002,蘇澳鎮,2017,53.8
10002,三星鄉,2016,68.4
10002,大同鄉,2016,50
10002,五結鄉,2016,81.5
10002,冬山鄉,2016,72.7
10002,壯圍鄉,2016,100
10002,宜蘭市,2016,62.9
10002,南澳鄉,2016,88.9
10002,員山鄉,2016,73.7
10002,頭城鎮,2016,81.8
10002,礁溪鄉,2016,76.2
10002,羅東鎮,2016,69.2
10002,蘇澳鎮,2016,63
10002,三星鄉,2015,68.8
10002,大同鄉,2015,88.9
10002,五結鄉,2015,75
10002,冬山鄉,2015,75
10002,壯圍鄉,2015,75
10002,宜蘭市,2015,69.6
10002,南澳鄉,2015,83.3
10002,員山鄉,2015,72.4
10002,頭城鎮,2015,50
10002,礁溪鄉,2015,83.3
10002,羅東鎮,2015,80.6
10002,蘇澳鎮,2015,61.5
10002,三星鄉,2014,76.5
10002,大同鄉,2014,76.5
10002,五結鄉,2014,71.4
10002,冬山鄉,2014,88.9
10002,壯圍鄉,2014,76.9
10002,宜蘭市,2014,85.4
10002,南澳鄉,2014,85.7
10002,員山鄉,2014,65.4
10002,頭城鎮,2014,66.7
10002,礁溪鄉,2014,87.5
10002,羅東鎮,2014,79.4
10002,蘇澳鎮,2014,78.6
10002,三星鄉,2013,71.4
10002,大同鄉,2013,88.9
10002,五結鄉,2013,86.7
10002,冬山鄉,2013,56.3
10002,壯圍鄉,2013,81.3
10002,宜蘭市,2013,82.1
10002,南澳鄉,2013,80
10002,員山鄉,2013,57.7
10002,頭城鎮,2013,73.3
10002,礁溪鄉,2013,72.2
10002,羅東鎮,2013,88
10002,蘇澳鎮,2013,85.7
10017,七堵區,2021,87.5
10017,中山區,2021,82.4
10017,中正區,2021,61.9
10017,仁愛區,2021,38.5
10017,安樂區,2021,60.9
10017,信義區,2021,70
10017,暖暖區,2021,60
10017,七堵區,2020,75.9
10017,中山區,2020,55.6
10017,中正區,2020,80
10017,仁愛區,2020,42.9
10017,安樂區,2020,65.5
10017,信義區,2020,64.7
10017,暖暖區,2020,61.9
10017,七堵區,2019,73.9
10017,中山區,2019,66.7
10017,中正區,2019,80
10017,仁愛區,2019,58.3
10017,安樂區,2019,71.1
10017,信義區,2019,78.9
10017,暖暖區,2019,92.3
10017,七堵區,2018,69.2
