確定病名,死亡日,縣市,鄉鎮,性別,是否為境外移入,年齡層,死亡病例數,縣市別代碼,鄉鎮別代碼
19SC,2024-08-23,高雄市,岡山區,F,0,70+,1,64000,64000190
19SC,2024-08-30,台北市,士林區,M,0,70+,1,63000,63000110
19SC,2024-09-02,彰化縣,和美鎮,M,0,70+,1,10007,10007030
19SC,2024-09-02,嘉義市,西區,M,0,70+,1,10020,10020020
19SC,2024-09-03,彰化縣,田中鎮,F,0,70+,1,10007,10007120
19SC,2024-09-03,雲林縣,土庫鎮,M,0,70+,1,10009,10009050
19SC,2024-09-03,嘉義縣,竹崎鄉,M,0,60~64,1,10010,10010140
19SC,2024-09-06,高雄市,旗山區,M,0,70+,1,64000,64000300
19SC,2024-09-09,南投縣,鹿谷鄉,M,0,70+,1,10008,10008070
19SC,2024-09-09,花蓮縣,花蓮市,F,0,70+,1,10015,10015010
19SC,2024-09-09,台中市,梧棲區,F,0,70+,1,66000,66000140
19SC,2024-09-10,嘉義市,西區,M,0,70+,1,10020,10020020
19SC,2024-09-11,新竹市,東區,M,0,70+,1,10018,10018010
19SC,2024-09-12,彰化縣,社頭鄉,M,0,55~59,1,10007,10007170
19SC,2024-09-13,台中市,后里區,M,0,60~64,1,66000,66000150
19SC,2024-09-14,新竹市,北區,M,0,70+,1,10018,10018020
19SC,2024-09-14,台南市,新營區,F,0,70+,1,67000,67000010
19SC,2024-09-15,嘉義市,西區,M,0,65~69,1,10020,10020020
19SC,2024-09-17,彰化縣,芳苑鄉,M,0,70+,1,10007,10007230
19SC,2024-09-17,屏東縣,枋寮鄉,M,0,70+,1,10013,10013160
19SC,2024-09-18,南投縣,竹山鎮,M,0,65~69,1,10008,10008040
19SC,2024-09-18,嘉義縣,大林鎮,F,0,70+,1,10010,10010040
19SC,2024-09-18,高雄市,鳳山區,M,0,70+,1,64000,64000120
19SC,2024-09-21,彰化縣,鹿港鎮,F,0,70+,1,10007,10007020
19SC,2024-09-21,南投縣,竹山鎮,M,0,65~69,1,10008,10008040
19SC,2024-09-22,南投縣,名間鄉,F,0,70+,1,10008,10008060
19SC,2024-09-23,桃園市,平鎮區,M,0,70+,1,68000,68000100
19SC,2024-09-24,台北市,萬華區,F,0,70+,1,63000,63000070
19SC,2024-09-24,高雄市,三民區,M,0,70+,1,64000,64000050
19SC,2024-09-25,台中市,清水區,F,0,70+,1,66000,66000120
19SC,2024-09-25,桃園市,觀音區,F,0,70+,1,68000,68000120
19SC,2024-09-27,台北市,士林區,M,0,70+,1,63000,63000110
19SC,2024-09-28,台南市,安平區,M,0,70+,1,67000,67000360
19SC,2024-09-28,台南市,新市區,F,0,70+,1,67000,67000200
19SC,2024-09-29,雲林縣,麥寮鄉,M,0,70+,1,10009,10009130
19SC,2024-09-30,苗栗縣,苑裡鎮,F,0,70+,1,10005,10005020
19SC,2024-10-03,彰化縣,埤頭鄉,M,0,70+,1,10007,10007220
19SC,2024-10-03,花蓮縣,壽豐鄉,M,0,70+,1,10015,10015060
19SC,2024-10-05,雲林縣,虎尾鎮,M,0,70+,1,10009,10009030
19SC,2024-10-05,高雄市,前鎮區,F,0,70+,1,64000,64000090
19SC,2024-10-06,新竹縣,竹北市,F,0,70+,1,10004,10004010
19SC,2024-10-06,台中市,清水區,F,0,70+,1,66000,66000120
19SC,2024-10-07,基隆市,信義區,F,0,70+,1,10017,10017070
19SC,2024-10-08,台中市,北區,M,0,70+,1,66000,66000050
19SC,2024-10-12,彰化縣,北斗鎮,M,0,70+,1,10007,10007190
19SC,2024-10-13,高雄市,岡山區,M,0,70+,1,64000,64000190
19SC,2024-10-15,基隆市,仁愛區,M,0,70+,1,10017,10017040
19SC,2024-10-17,台北市,士林區,M,0,70+,1,63000,63000110
19SC,2024-10-17,新北市,汐止區,M,0,70+,1,65000,65000110
19SC,2024-10-17,台中市,梧棲區,M,0,70+,1,66000,66000140
19SC,2024-10-18,雲林縣,西螺鎮,M,0,70+,1,10009,10009040
19SC,2024-10-19,宜蘭縣,羅東鎮,M,0,70+,1,10002,10002020
19SC,2024-10-20,彰化縣,田中鎮,M,0,70+,1,10007,10007120
19SC,2024-10-23,新竹縣,湖口鄉,M,0,55~59,1,10004,10004050
19SC,2024-10-23,屏東縣,車城鄉,F,0,55~59,1,10013,10013230
19SC,2024-10-26,台南市,佳里區,M,0,70+,1,67000,67000120
19SC,2024-10-27,台南市,東區,M,0,70+,1,67000,67000320
19SC,2024-10-28,台中市,霧峰區,M,0,70+,1,66000,66000260
19SC,2024-10-28,桃園市,龜山區,F,0,60~64,1,68000,68000070
19SC,2024-11-02,宜蘭縣,三星鄉,F,0,65~69,1,10002,10002100
19SC,2024-11-02,雲林縣,虎尾鎮,M,0,70+,1,10009,10009030
19SC,2024-11-02,台南市,東區,F,0,70+,1,67000,67000320
19SC,2024-11-03,嘉義市,西區,M,0,65~69,1,10020,10020020
19SC,2024-11-03,台中市,太平區,M,0,70+,1,66000,66000270
19SC,2024-11-04,苗栗縣,大湖鄉,F,0,70+,1,10005,10005080
19SC,2024-11-04,新北市,新莊區,M,0,70+,1,65000,65000050
19SC,2024-11-06,彰化縣,彰化市,F,0,70+,1,10007,10007010
19SC,2024-11-06,新竹市,北區,M,0,50~54,1,10018,10018020
19SC,2024-11-08,南投縣,魚池鄉,M,0,70+,1,10008,10008090
19SC,2024-11-08,台北市,中正區,F,0,65~69,1,63000,63000050
19SC,2024-11-08,新北市,板橋區,M,0,70+,1,65000,65000010
19SC,2024-11-09,屏東縣,屏東市,F,0,70+,1,10013,10013010
19SC,2024-11-12,高雄市,林園區,M,0,70+,1,64000,64000130
19SC,2024-11-12,新北市,林口區,M,0,70+,1,65000,65000170
19SC,2024-11-12,台中市,西區,F,0,70+,1,66000,66000040
19SC,2024-11-13,新北市,土城區,M,0,70+,1,65000,65000130
19SC,2024-11-15,屏東縣,東港鎮,F,0,70+,1,10013,10013030
19SC,2024-11-15,台中市,豐原區,M,0,70+,1,66000,66000090
19SC,2024-11-17,新竹市,香山區,M,0,60~64,1,10018,10018030
19SC,2024-11-17,台中市,南屯區,M,0,70+,1,66000,66000070
19SC,2024-11-20,雲林縣,虎尾鎮,M,0,70+,1,10009,10009030
19SC,2024-11-23,新北市,汐止區,M,0,70+,1,65000,65000110
19SC,2024-11-27,台中市,北屯區,F,0,70+,1,66000,66000080
19SC,2024-12-06,新竹縣,芎林鄉,M,0,70+,1,10004,10004070
19SC,2024-12-08,台東縣,台東市,M,0,70+,1,10014,10014010
19SC,2024-12-08,台北市,內湖區,M,0,70+,1,63000,63000100
19SC,2024-12-09,台東縣,台東市,F,0,70+,1,10014,10014010
19SC,2024-12-10,彰化縣,花壇鄉,M,0,70+,1,10007,10007080
19SC,2024-12-13,雲林縣,斗南鎮,M,0,70+,1,10009,10009020
19SC,2024-12-13,新北市,板橋區,M,0,70+,1,65000,65000010
19SC,2024-12-18,桃園市,楊梅區,M,0,70+,1,68000,68000040
19SC,2024-12-19,嘉義縣,民雄鄉,F,0,70+,1,10010,10010050
19SC,2024-12-20,新北市,樹林區,M,0,35~39,1,65000,65000070
19SC,2024-12-21,屏東縣,潮州鎮,F,0,70+,1,10013,10013020
19SC,2024-12-22,屏東縣,潮州鎮,M,0,65~69,1,10013,10013020
19SC,2024-12-24,高雄市,美濃區,M,0,70+,1,64000,64000310
19SC,2025-01-12,桃園市,桃園區,M,0,70+,1,68000,68000010
19SC,2025-01-18,基隆市,中正區,M,0,45~49,1,10017,10017010
19SC,2025-01-19,台中市,西區,F,0,70+,1,66000,66000040
19SC,2025-01-20,雲林縣,虎尾鎮,F,0,70+,1,10009,10009030
19SC,2025-01-22,台中市,后里區,F,0,70+,1,66000,66000150
19SC,2025-01-26,雲林縣,斗六市,F,0,70+,1,10009,10009010
19SC,2025-02-10,台北市,南港區,M,0,70+,1,63000,63000090
19SC,2025-02-10,台北市,萬華區,F,0,70+,1,63000,63000070
19SC,2025-02-13,高雄市,前鎮區,F,0,60~64,1,64000,64000090
19SC,2025-02-17,雲林縣,斗六市,F,0,65~69,1,10009,10009010
19SC,2025-02-19,台北市,內湖區,F,0,70+,1,63000,63000100
19SC,2025-02-21,新竹市,東區,F,0,70+,1,10018,10018010
19SC,2025-02-24,雲林縣,土庫鎮,M,0,65~69,1,10009,10009050
19SC,2025-02-25,南投縣,竹山鎮,M,0,60~64,1,10008,10008040
19SC,2025-02-28,台中市,霧峰區,M,0,60~64,1,66000,66000260
19SC,2025-03-06,屏東縣,潮州鎮,F,0,70+,1,10013,10013020
19SC,2025-03-15,桃園市,桃園區,M,0,60~64,1,68000,68000010
19SC,2025-03-26,屏東縣,麟洛鄉,M,0,60~64,1,10013,10013070
19SC,2025-03-27,台南市,新市區,M,0,70+,1,67000,67000200
19SC,2025-03-28,彰化縣,福興鄉,F,0,70+,1,10007,10007060
19SC,2025-04-07,台南市,龍崎區,F,0,70+,1,67000,67000300
19SC,2025-04-10,台北市,文山區,M,0,70+,1,63000,63000080
19SC,2025-04-11,南投縣,仁愛鄉,M,0,55~59,1,10008,10008130
19SC,2025-04-11,台中市,東區,M,0,70+,1,66000,66000020
19SC,2025-04-12,南投縣,名間鄉,F,0,70+,1,10008,10008060
19SC,2025-04-12,嘉義縣,民雄鄉,F,0,70+,1,10010,10010050
19SC,2025-04-17,高雄市,楠梓區,M,0,65~69,1,64000,64000040
19SC,2025-04-17,桃園市,觀音區,M,0,70+,1,68000,68000120
19SC,2025-04-18,新北市,樹林區,M,0,60~64,1,65000,65000070
19SC,2025-04-21,高雄市,三民區,M,0,70+,1,64000,64000050
19SC,2025-04-21,高雄市,大寮區,M,0,60~64,1,64000,64000140
19SC,2025-04-23,新北市,新莊區,M,0,65~69,1,65000,65000050
19SC,2025-04-23,桃園市,平鎮區,M,0,70+,1,68000,68000100
19SC,2025-04-28,嘉義縣,朴子市,M,0,70+,1,10010,10010020
19SC,2025-04-28,高雄市,小港區,M,0,70+,1,64000,64000110
19SC,2025-04-28,台南市,永康區,F,0,70+,1,67000,67000310
19SC,2025-04-30,台南市,東山區,M,0,70+,1,67000,67000060
19SC,2025-05-02,嘉義市,東區,M,0,70+,1,10020,10020010
19SC,2025-05-03,花蓮縣,壽豐鄉,F,0,70+,1,10015,10015060
19SC,2025-05-05,嘉義市,西區,M,0,70+,1,10020,10020020
19SC,2025-05-06,桃園市,中壢區,M,0,60~64,1,68000,68000020
19SC,2025-05-06,桃園市,中壢區,M,0,70+,1,68000,68000020
19SC,2025-05-07,高雄市,梓官區,F,0,70+,1,64000,64000290
19SC,2025-05-07,台中市,大甲區,F,0,70+,1,66000,66000110
19SC,2025-05-07,台南市,安南區,F,0,70+,1,67000,67000350
