確定病名,診斷年份,診斷週別,縣市,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼
090,2003,3,台南市,M,0,70+,1,67000
090,2003,3,桃園市,F,0,40~44,2,68000
090,2003,3,桃園市,F,0,70+,2,68000
090,2003,3,桃園市,M,0,15~19,1,68000
090,2003,3,桃園市,M,0,35~39,1,68000
090,2003,4,新竹縣,M,0,25~29,1,10004
090,2003,4,苗栗縣,F,0,35~39,1,10005
090,2003,4,苗栗縣,F,0,55~59,1,10005
090,2003,4,南投縣,M,0,35~39,1,10008
090,2003,4,南投縣,M,0,60~64,1,10008
090,2003,4,花蓮縣,M,0,60~64,1,10015
090,2003,4,基隆市,M,0,20~24,2,10017
090,2003,4,基隆市,M,0,25~29,1,10017
090,2003,4,台中市(舊),M,0,30~34,1,10019
090,2003,4,台北市,F,0,30~34,1,63000
090,2003,4,台北市,F,0,60~64,1,63000
090,2003,4,台北市,F,0,70+,2,63000
090,2003,4,台北市,M,0,25~29,3,63000
090,2003,4,台北市,M,0,35~39,2,63000
090,2003,4,台北市,M,0,40~44,1,63000
090,2003,4,台北市,M,0,70+,1,63000
090,2003,4,高雄市,F,0,55~59,2,64000
090,2003,4,高雄市,F,0,60~64,1,64000
090,2003,4,高雄市,F,0,65~69,1,64000
090,2003,4,高雄市,F,0,70+,3,64000
090,2003,4,高雄市,M,0,30~34,2,64000
090,2003,4,高雄市,M,0,35~39,4,64000
090,2003,4,高雄市,M,0,40~44,1,64000
090,2003,4,高雄市,M,0,45~49,2,64000
090,2003,4,高雄市,M,0,50~54,1,64000
090,2003,4,高雄市,M,0,55~59,1,64000
090,2003,4,高雄市,M,0,60~64,1,64000
090,2003,4,高雄市,M,0,70+,1,64000
090,2003,4,新北市,F,0,20~24,1,65000
090,2003,4,新北市,F,0,25~29,1,65000
090,2003,4,新北市,F,0,30~34,1,65000
090,2003,4,新北市,F,0,35~39,1,65000
090,2003,4,新北市,F,0,45~49,1,65000
090,2003,4,新北市,F,0,70+,1,65000
090,2003,4,新北市,M,0,15~19,1,65000
090,2003,4,新北市,M,0,30~34,1,65000
090,2003,4,新北市,M,0,35~39,1,65000
090,2003,4,新北市,M,0,40~44,1,65000
090,2003,4,新北市,M,0,45~49,3,65000
090,2003,4,新北市,M,0,50~54,1,65000
090,2003,4,台中市,F,0,0,1,66000
090,2003,4,台中市,F,0,25~29,1,66000
090,2003,4,台中市,F,0,60~64,1,66000
090,2003,4,台中市,M,0,30~34,1,66000
090,2003,4,台中市,M,0,40~44,1,66000
090,2003,4,台中市,M,0,65~69,1,66000
090,2003,4,台南市,F,0,30~34,2,67000
090,2003,4,台南市,F,0,45~49,1,67000
090,2003,4,台南市,F,0,60~64,1,67000
090,2003,4,桃園市,F,0,40~44,1,68000
090,2003,4,桃園市,F,0,70+,1,68000
090,2003,4,桃園市,M,0,25~29,1,68000
090,2003,4,桃園市,M,0,60~64,1,68000
090,2003,5,金門縣,F,0,25~29,1,09020
090,2003,5,宜蘭縣,M,0,40~44,1,10002
090,2003,5,新竹縣,F,0,15~19,1,10004
090,2003,5,彰化縣,F,0,60~64,1,10007
090,2003,5,彰化縣,M,0,70+,1,10007
090,2003,5,南投縣,M,0,70+,2,10008
090,2003,5,雲林縣,M,0,30~34,1,10009
090,2003,5,雲林縣,M,0,70+,1,10009
090,2003,5,高雄縣(舊),M,0,50~54,1,10012
090,2003,5,屏東縣,F,0,30~34,1,10013
090,2003,5,屏東縣,F,0,65~69,1,10013
090,2003,5,屏東縣,M,0,20~24,1,10013
090,2003,5,屏東縣,M,0,35~39,2,10013
090,2003,5,屏東縣,M,0,40~44,2,10013
090,2003,5,屏東縣,M,0,45~49,1,10013
090,2003,5,屏東縣,M,0,50~54,1,10013
090,2003,5,屏東縣,M,0,65~69,1,10013
090,2003,5,屏東縣,M,0,70+,1,10013
090,2003,5,台東縣,M,0,25~29,1,10014
090,2003,5,台東縣,M,0,35~39,1,10014
090,2003,5,花蓮縣,M,0,45~49,1,10015
090,2003,5,花蓮縣,M,0,65~69,1,10015
090,2003,5,基隆市,F,0,25~29,1,10017
090,2003,5,基隆市,F,1,20~24,1,10017
090,2003,5,基隆市,F,1,25~29,2,10017
090,2003,5,基隆市,M,0,40~44,1,10017
090,2003,5,基隆市,M,0,50~54,1,10017
090,2003,5,基隆市,M,0,55~59,1,10017
090,2003,5,台北市,F,0,15~19,1,63000
090,2003,5,台北市,F,0,20~24,2,63000
090,2003,5,台北市,F,0,45~49,1,63000
090,2003,5,台北市,M,0,25~29,1,63000
090,2003,5,台北市,M,0,30~34,1,63000
090,2003,5,台北市,M,0,50~54,1,63000
090,2003,5,台北市,M,0,55~59,1,63000
090,2003,5,台北市,M,0,65~69,2,63000
090,2003,5,台北市,M,0,70+,3,63000
090,2003,5,高雄市,F,0,15~19,1,64000
090,2003,5,高雄市,F,0,35~39,2,64000
090,2003,5,高雄市,F,0,50~54,1,64000
090,2003,5,高雄市,M,0,30~34,1,64000
090,2003,5,高雄市,M,0,45~49,1,64000
090,2003,5,高雄市,M,0,50~54,1,64000
090,2003,5,高雄市,M,0,55~59,1,64000
090,2003,5,高雄市,M,0,60~64,1,64000
090,2003,5,高雄市,M,0,65~69,1,64000
090,2003,5,新北市,F,0,30~34,1,65000
090,2003,5,新北市,F,0,60~64,2,65000
090,2003,5,新北市,M,0,20~24,1,65000
090,2003,5,新北市,M,0,25~29,2,65000
090,2003,5,新北市,M,0,30~34,1,65000
090,2003,5,新北市,M,0,35~39,2,65000
090,2003,5,新北市,M,0,40~44,3,65000
090,2003,5,新北市,M,0,45~49,1,65000
090,2003,5,新北市,M,0,55~59,3,65000
090,2003,5,新北市,M,0,70+,1,65000
090,2003,5,台中市,F,0,35~39,1,66000
090,2003,5,台中市,F,0,50~54,1,66000
090,2003,5,台南市,F,0,35~39,1,67000
090,2003,5,台南市,M,0,40~44,1,67000
090,2003,5,台南市,M,0,70+,1,67000
090,2003,5,桃園市,F,0,35~39,1,68000
090,2003,5,桃園市,F,0,70+,1,68000
090,2003,5,桃園市,M,0,35~39,1,68000
090,2003,5,桃園市,M,0,40~44,1,68000
090,2003,6,新竹縣,M,0,40~44,1,10004
090,2003,6,新竹縣,M,0,70+,1,10004
090,2003,6,雲林縣,M,0,60~64,1,10009
090,2003,6,高雄縣(舊),F,0,35~39,1,10012
090,2003,6,屏東縣,M,0,55~59,1,10013
090,2003,6,基隆市,F,0,25~29,1,10017
090,2003,6,基隆市,F,0,70+,1,10017
090,2003,6,基隆市,M,1,30~34,1,10017
090,2003,6,新竹市,F,0,40~44,1,10018
090,2003,6,台北市,M,0,25~29,1,63000
090,2003,6,台北市,M,0,30~34,1,63000
090,2003,6,台北市,M,0,35~39,1,63000
090,2003,6,台北市,M,0,50~54,1,63000
090,2003,6,台北市,M,0,70+,1,63000
090,2003,6,高雄市,F,0,45~49,1,64000
090,2003,6,高雄市,M,0,40~44,1,64000
090,2003,6,高雄市,M,0,50~54,1,64000
090,2003,6,高雄市,M,0,70+,1,64000
090,2003,6,高雄市(舊),M,0,25~29,1,64000
090,2003,6,新北市,F,0,20~24,1,65000
090,2003,6,新北市,F,0,30~34,1,65000
090,2003,6,新北市,M,0,25~29,2,65000
090,2003,6,新北市,M,0,30~34,1,65000
090,2003,6,新北市,M,0,45~49,1,65000
090,2003,6,新北市,M,0,55~59,1,65000
090,2003,6,台中市,F,0,55~59,1,66000
090,2003,6,台中市,M,0,20~24,1,66000
090,2003,6,台中市,M,0,35~39,1,66000
090,2003,7,宜蘭縣,M,0,20~24,1,10002
090,2003,7,宜蘭縣,M,0,60~64,1,10002
090,2003,7,新竹縣,F,0,45~49,1,10004
090,2003,7,苗栗縣,M,0,40~44,1,10005
090,2003,7,台中縣(舊),M,0,45~49,1,10006
090,2003,7,彰化縣,M,0,40~44,2,10007
090,2003,7,南投縣,F,0,20~24,1,10008
090,2003,7,南投縣,M,0,55~59,1,10008
090,2003,7,雲林縣,M,0,60~64,1,10009
090,2003,7,台南縣(舊),M,0,30~34,1,10011
090,2003,7,高雄縣(舊),M,0,50~54,1,10012
090,2003,7,屏東縣,F,0,30~34,1,10013
090,2003,7,屏東縣,M,0,25~29,2,10013
090,2003,7,屏東縣,M,0,35~39,2,10013
090,2003,7,屏東縣,M,0,40~44,1,10013
090,2003,7,台東縣,M,0,25~29,1,10014
090,2003,7,花蓮縣,F,0,40~44,1,10015
090,2003,7,基隆市,M,0,60~64,1,10017
090,2003,7,新竹市,F,0,25~29,1,10018
090,2003,7,新竹市,M,0,25~29,1,10018
090,2003,7,台中市(舊),F,0,25~29,1,10019
090,2003,7,台南市(舊),F,0,30~34,1,10021
090,2003,7,台北市,F,0,25~29,1,63000
090,2003,7,台北市,F,0,70+,3,63000
090,2003,7,台北市,M,0,35~39,2,63000
090,2003,7,台北市,M,0,40~44,1,63000
090,2003,7,台北市,M,0,45~49,1,63000
090,2003,7,台北市,M,0,50~54,1,63000
090,2003,7,台北市,M,0,70+,3,63000
090,2003,7,高雄市,F,0,30~34,1,64000
090,2003,7,高雄市,F,0,40~44,1,64000
090,2003,7,高雄市,F,0,70+,1,64000
090,2003,7,高雄市,M,0,25~29,1,64000
090,2003,7,高雄市,M,0,30~34,1,64000
090,2003,7,高雄市,M,0,45~49,1,64000
090,2003,7,新北市,F,0,40~44,1,65000
090,2003,7,新北市,F,0,70+,2,65000
090,2003,7,新北市,M,0,0,1,65000
090,2003,7,新北市,M,0,25~29,1,65000
090,2003,7,新北市,M,0,30~34,1,65000
090,2003,7,新北市,M,0,40~44,1,65000
090,2003,7,新北市,M,0,50~54,1,65000
090,2003,7,新北市,M,0,60~64,1,65000
090,2003,7,新北市,M,0,70+,2,65000
090,2003,7,台中市,F,0,35~39,1,66000
090,2003,7,台中市,F,0,55~59,2,66000
090,2003,7,台中市,M,0,20~24,2,66000
090,2003,7,台中市,M,0,35~39,1,66000
090,2003,7,台中市,M,0,60~64,1,66000
090,2003,7,台南市,M,0,30~34,1,67000
090,2003,7,台南市,M,0,40~44,1,67000
090,2003,7,台南市,M,0,70+,1,67000
090,2003,7,桃園市,F,0,25~29,1,68000
090,2003,7,桃園市,F,0,40~44,1,68000
090,2003,7,桃園市,F,0,65~69,1,68000
090,2003,7,桃園市,M,0,30~34,1,68000
090,2003,7,桃園市,M,0,35~39,1,68000
090,2003,7,桃園市,M,0,60~64,1,68000
090,2003,8,連江縣,M,0,55~59,1,09007
090,2003,8,宜蘭縣,M,0,20~24,1,10002
090,2003,8,宜蘭縣,M,0,35~39,1,10002
090,2003,8,宜蘭縣,M,0,45~49,1,10002
090,2003,8,新竹縣,M,0,20~24,1,10004
090,2003,8,新竹縣,M,0,45~49,1,10004
090,2003,8,苗栗縣,F,0,70+,1,10005
090,2003,8,苗栗縣,F,1,25~29,1,10005
090,2003,8,苗栗縣,M,0,35~39,1,10005
090,2003,8,苗栗縣,M,0,60~64,1,10005
090,2003,8,彰化縣,M,0,45~49,1,10007
090,2003,8,雲林縣,M,0,15~19,1,10009
090,2003,8,嘉義縣,M,0,25~29,1,10010
090,2003,8,嘉義縣,M,0,30~34,1,10010
090,2003,8,屏東縣,M,0,45~49,1,10013
090,2003,8,台東縣,F,0,35~39,1,10014
090,2003,8,花蓮縣,M,0,55~59,1,10015
090,2003,8,澎湖縣,F,0,20~24,1,10016
090,2003,8,基隆市,F,1,20~24,1,10017
090,2003,8,基隆市,M,0,30~34,1,10017
090,2003,8,基隆市,M,0,50~54,1,10017
090,2003,8,新竹市,M,0,20~24,1,10018
090,2003,8,台北市,F,0,35~39,1,63000
090,2003,8,台北市,F,0,50~54,1,63000
090,2003,8,台北市,F,0,70+,1,63000
090,2003,8,台北市,M,0,0,1,63000
090,2003,8,台北市,M,0,20~24,1,63000
090,2003,8,台北市,M,0,25~29,2,63000
090,2003,8,台北市,M,0,30~34,3,63000
090,2003,8,台北市,M,0,40~44,1,63000
090,2003,8,台北市,M,0,60~64,1,63000
090,2003,8,台北市,M,0,65~69,1,63000
090,2003,8,台北市,M,0,70+,4,63000
090,2003,8,高雄市,F,0,10~14,1,64000
090,2003,8,高雄市,F,0,70+,1,64000
090,2003,8,高雄市,M,0,0,1,64000
090,2003,8,高雄市,M,0,30~34,1,64000
090,2003,8,高雄市,M,0,40~44,1,64000
090,2003,8,高雄市,M,0,45~49,2,64000
090,2003,8,高雄市,M,0,55~59,1,64000
090,2003,8,高雄市,M,0,5~9,1,64000
090,2003,8,高雄市,M,0,70+,1,64000
090,2003,8,新北市,F,0,20~24,1,65000
090,2003,8,新北市,F,0,35~39,1,65000
090,2003,8,新北市,F,0,45~49,2,65000
090,2003,8,新北市,F,0,70+,1,65000
090,2003,8,新北市,M,0,0,1,65000
090,2003,8,新北市,M,0,15~19,1,65000
090,2003,8,新北市,M,0,25~29,1,65000
090,2003,8,新北市,M,0,30~34,1,65000
090,2003,8,新北市,M,0,35~39,2,65000
090,2003,8,新北市,M,0,40~44,2,65000
090,2003,8,新北市,M,0,45~49,2,65000
090,2003,8,新北市,M,0,55~59,3,65000
090,2003,8,新北市,M,0,60~64,1,65000
090,2003,8,新北市,M,0,65~69,2,65000
090,2003,8,新北市,M,0,70+,3,65000
090,2003,8,台中市,M,0,30~34,1,66000
090,2003,8,台中市,M,0,35~39,1,66000
090,2003,8,台南市,M,0,25~29,1,67000
090,2003,8,台南市,M,1,25~29,1,67000
090,2003,8,桃園市,F,0,25~29,1,68000
090,2003,8,桃園市,F,0,45~49,1,68000
090,2003,8,桃園市,M,0,30~34,2,68000
090,2003,8,桃園市,M,0,35~39,1,68000
090,2003,8,桃園市,M,0,40~44,1,68000
090,2003,8,桃園市,M,0,60~64,1,68000
090,2003,9,宜蘭縣,F,0,40~44,1,10002
090,2003,9,宜蘭縣,M,0,70+,1,10002
090,2003,9,新竹縣,F,0,70+,1,10004
090,2003,9,苗栗縣,M,0,25~29,1,10005
090,2003,9,台中縣(舊),M,0,15~19,1,10006
090,2003,9,彰化縣,F,0,20~24,1,10007
090,2003,9,彰化縣,F,0,60~64,1,10007
090,2003,9,彰化縣,M,0,35~39,1,10007
090,2003,9,雲林縣,M,0,20~24,1,10009
090,2003,9,雲林縣,M,0,35~39,1,10009
090,2003,9,屏東縣,F,0,45~49,3,10013
090,2003,9,屏東縣,F,0,70+,1,10013
090,2003,9,屏東縣,M,0,30~34,1,10013
090,2003,9,屏東縣,M,0,50~54,1,10013
090,2003,9,屏東縣,M,0,60~64,1,10013
090,2003,9,基隆市,F,0,70+,1,10017
090,2003,9,基隆市,M,0,40~44,1,10017
090,2003,9,基隆市,M,0,55~59,1,10017
090,2003,9,新竹市,F,0,15~19,2,10018
090,2003,9,新竹市,F,0,30~34,1,10018
090,2003,9,新竹市,M,0,55~59,1,10018
090,2003,9,新竹市,M,0,70+,1,10018
090,2003,9,台中市(舊),M,0,40~44,1,10019
090,2003,9,嘉義市,F,0,70+,1,10020
090,2003,9,台北市,F,0,20~24,1,63000
090,2003,9,台北市,F,0,40~44,1,63000
090,2003,9,台北市,F,0,45~49,1,63000
090,2003,9,台北市,F,0,70+,3,63000
090,2003,9,台北市,M,0,25~29,1,63000
090,2003,9,台北市,M,0,30~34,3,63000
090,2003,9,台北市,M,0,35~39,1,63000
090,2003,9,台北市,M,0,40~44,2,63000
090,2003,9,台北市,M,0,45~49,1,63000
090,2003,9,台北市,M,0,70+,1,63000
090,2003,9,高雄市,F,0,25~29,2,64000
090,2003,9,高雄市,F,0,30~34,2,64000
090,2003,9,高雄市,F,0,45~49,1,64000
090,2003,9,高雄市,F,0,65~69,3,64000
090,2003,9,高雄市(舊),F,0,25~29,1,64000
090,2003,9,高雄市,M,0,35~39,1,64000
090,2003,9,高雄市,M,0,40~44,1,64000
090,2003,9,高雄市,M,0,50~54,2,64000
090,2003,9,高雄市,M,0,55~59,2,64000
090,2003,9,高雄市(舊),M,0,60~64,1,64000
090,2003,9,新北市,F,0,30~34,1,65000
090,2003,9,新北市,F,0,40~44,1,65000
090,2003,9,新北市,F,0,65~69,1,65000
090,2003,9,新北市,F,0,70+,2,65000
090,2003,9,新北市,M,0,20~24,3,65000
090,2003,9,新北市,M,0,25~29,1,65000
090,2003,9,新北市,M,0,35~39,3,65000
090,2003,9,新北市,M,0,40~44,1,65000
090,2003,9,新北市,M,0,45~49,1,65000
090,2003,9,新北市,M,0,50~54,1,65000
090,2003,9,新北市,M,0,55~59,2,65000
090,2003,9,新北市,M,0,60~64,1,65000
090,2003,9,台中市,F,0,40~44,1,66000
090,2003,9,台中市,M,0,0,1,66000
090,2003,9,台中市,M,0,20~24,1,66000
090,2003,9,台中市,M,0,40~44,1,66000
090,2003,9,台中市,M,0,55~59,1,66000
090,2003,9,台中市,M,0,65~69,1,66000
090,2003,9,台南市,F,0,60~64,1,67000
090,2003,9,台南市,M,0,20~24,1,67000
090,2003,9,台南市,M,0,45~49,1,67000
090,2003,9,台南市,M,0,60~64,1,67000
090,2003,9,桃園市,F,0,50~54,1,68000
090,2003,9,桃園市,M,0,25~29,1,68000
090,2003,9,桃園市,M,0,70+,1,68000
090,2003,10,新竹縣,F,0,50~54,1,10004
090,2003,10,新竹縣,M,0,65~69,3,10004
090,2003,10,苗栗縣,F,0,0,1,10005
090,2003,10,苗栗縣,F,1,15~19,1,10005
090,2003,10,彰化縣,F,0,30~34,1,10007
090,2003,10,彰化縣,M,0,35~39,1,10007
090,2003,10,台南縣(舊),M,0,50~54,1,10011
090,2003,10,屏東縣,M,0,15~19,1,10013
090,2003,10,花蓮縣,M,0,30~34,1,10015
090,2003,10,花蓮縣,M,0,55~59,1,10015
090,2003,10,基隆市,F,0,60~64,1,10017
090,2003,10,基隆市,F,0,70+,1,10017
090,2003,10,基隆市,M,0,25~29,1,10017
090,2003,10,基隆市,M,0,35~39,1,10017
090,2003,10,新竹市,M,0,0,1,10018
090,2003,10,台北市,F,0,20~24,1,63000
090,2003,10,台北市,F,0,25~29,1,63000
090,2003,10,台北市,F,0,35~39,1,63000
090,2003,10,台北市,F,0,65~69,1,63000
090,2003,10,台北市,F,0,70+,1,63000
090,2003,10,台北市,M,0,25~29,2,63000
090,2003,10,台北市,M,0,35~39,1,63000
090,2003,10,台北市,M,0,40~44,1,63000
090,2003,10,台北市,M,0,45~49,1,63000
090,2003,10,台北市,M,0,50~54,1,63000
090,2003,10,台北市,M,0,60~64,2,63000
090,2003,10,台北市,M,0,65~69,2,63000
090,2003,10,台北市,M,0,70+,1,63000
090,2003,10,高雄市,F,0,15~19,1,64000
090,2003,10,高雄市,F,0,20~24,1,64000
090,2003,10,高雄市,F,0,25~29,1,64000
090,2003,10,高雄市,F,0,35~39,1,64000
090,2003,10,高雄市,F,0,45~49,1,64000
090,2003,10,高雄市,M,0,25~29,2,64000
090,2003,10,高雄市,M,0,30~34,1,64000
090,2003,10,高雄市,M,0,35~39,4,64000
090,2003,10,高雄市,M,0,40~44,4,64000
090,2003,10,高雄市,M,0,50~54,1,64000
090,2003,10,高雄市,M,0,60~64,1,64000
090,2003,10,新北市,F,0,25~29,1,65000
090,2003,10,新北市,F,0,30~34,1,65000
090,2003,10,新北市,F,0,35~39,1,65000
090,2003,10,新北市,F,0,40~44,1,65000
090,2003,10,新北市,F,0,50~54,1,65000
090,2003,10,新北市,F,0,55~59,2,65000
090,2003,10,新北市,F,0,60~64,1,65000
090,2003,10,新北市,F,0,70+,1,65000
090,2003,10,新北市,M,0,20~24,1,65000
090,2003,10,新北市,M,0,25~29,2,65000
090,2003,10,新北市,M,0,30~34,1,65000
090,2003,10,新北市,M,0,35~39,1,65000
090,2003,10,新北市,M,0,40~44,1,65000
090,2003,10,新北市,M,0,45~49,1,65000
090,2003,10,新北市,M,0,55~59,1,65000
090,2003,10,新北市,M,0,70+,1,65000
090,2003,10,台中市,F,0,25~29,1,66000
090,2003,10,台中市,M,0,20~24,1,66000
090,2003,10,台中市,M,0,60~64,1,66000
090,2003,10,台中市,M,0,70+,1,66000
090,2003,10,台南市,F,0,35~39,1,67000
090,2003,10,台南市,F,0,70+,1,67000
090,2003,10,台南市,M,0,20~24,1,67000
090,2003,10,桃園市,F,0,30~34,1,68000
090,2003,10,桃園市,M,0,25~29,1,68000
090,2003,10,桃園市,M,0,70+,2,68000
090,2003,11,宜蘭縣,F,0,70+,2,10002
090,2003,11,新竹縣,F,0,30~34,1,10004
090,2003,11,彰化縣,M,0,45~49,1,10007
090,2003,11,雲林縣,M,0,40~44,1,10009
090,2003,11,雲林縣,M,0,50~54,1,10009
090,2003,11,嘉義縣,M,0,50~54,3,10010
090,2003,11,屏東縣,F,0,30~34,1,10013
090,2003,11,屏東縣,F,0,50~54,1,10013
090,2003,11,屏東縣,M,0,15~19,2,10013
090,2003,11,花蓮縣,M,0,25~29,1,10015
090,2003,11,花蓮縣,M,0,35~39,3,10015
090,2003,11,澎湖縣,F,0,45~49,1,10016
090,2003,11,澎湖縣,M,0,35~39,1,10016
090,2003,11,基隆市,F,0,40~44,1,10017
090,2003,11,基隆市,M,0,0,1,10017
090,2003,11,基隆市,M,0,30~34,1,10017
090,2003,11,新竹市,F,0,35~39,1,10018
090,2003,11,新竹市,M,0,20~24,1,10018
090,2003,11,新竹市,M,0,50~54,1,10018
090,2003,11,嘉義市,F,0,55~59,1,10020
090,2003,11,台北市,F,0,30~34,3,63000
090,2003,11,台北市,F,0,35~39,1,63000
