年,週,就診類別,年齡別,縣市,急性上呼吸道感染健保就診人次,健保就診總人次,縣市別代碼
2016,01,住院,65+,雲林縣,0,218,10009
2016,01,住院,65+,嘉義縣,0,154,10010
2016,01,住院,65+,屏東縣,0,136,10013
2016,01,住院,65+,台東縣,0,1,10014
2016,01,住院,65+,花蓮縣,0,91,10015
2016,01,住院,65+,澎湖縣,0,1,10016
2016,01,住院,65+,基隆市,0,64,10017
2016,01,住院,65+,新竹市,0,275,10018
2016,01,住院,65+,嘉義市,0,16,10020
2016,01,住院,65+,台北市,7,2883,63000
2016,01,住院,65+,高雄市,3,516,64000
2016,01,住院,65+,新北市,1,529,65000
2016,01,住院,65+,台中市,5,1023,66000
2016,01,住院,65+,台南市,1,580,67000
2016,01,住院,65+,桃園市,0,269,68000
2016,01,住院,7~12,宜蘭縣,1,32,10002
2016,01,住院,7~12,新竹縣,0,1,10004
2016,01,住院,7~12,苗栗縣,0,9,10005
2016,01,住院,7~12,彰化縣,1,32,10007
2016,01,住院,7~12,南投縣,0,4,10008
2016,01,住院,7~12,雲林縣,0,7,10009
2016,01,住院,7~12,嘉義縣,0,4,10010
2016,01,住院,7~12,屏東縣,0,4,10013
2016,01,住院,7~12,台東縣,0,1,10014
2016,01,住院,7~12,花蓮縣,0,2,10015
2016,01,住院,7~12,新竹市,1,13,10018
2016,01,住院,7~12,台北市,3,104,63000
2016,01,住院,7~12,高雄市,0,26,64000
2016,01,住院,7~12,新北市,0,23,65000
2016,01,住院,7~12,台中市,0,57,66000
2016,01,住院,7~12,台南市,0,10,67000
2016,01,住院,7~12,桃園市,0,26,68000
2016,01,門診,0~2,連江縣,8,22,09007
2016,01,門診,0~2,金門縣,127,389,09020
2016,01,門診,0~2,宜蘭縣,1004,2203,10002
2016,01,門診,0~2,新竹縣,1106,3335,10004
2016,01,門診,0~2,苗栗縣,759,2843,10005
2016,01,門診,0~2,彰化縣,1928,7785,10007
2016,01,門診,0~2,南投縣,787,2561,10008
2016,01,門診,0~2,雲林縣,1008,3467,10009
2016,01,門診,0~2,嘉義縣,313,1313,10010
2016,01,門診,0~2,屏東縣,924,4237,10013
2016,01,門診,0~2,台東縣,337,766,10014
2016,01,門診,0~2,花蓮縣,427,1666,10015
2016,01,門診,0~2,澎湖縣,79,382,10016
2016,01,門診,0~2,基隆市,403,1809,10017
2016,01,門診,0~2,新竹市,763,4135,10018
2016,01,門診,0~2,嘉義市,443,2221,10020
2016,01,門診,0~2,台北市,2760,11700,63000
2016,01,門診,0~2,高雄市,3554,15802,64000
2016,01,門診,0~2,新北市,6715,23953,65000
2016,01,門診,0~2,台中市,3609,18378,66000
2016,01,門診,0~2,台南市,1978,10495,67000
2016,01,門診,0~2,桃園市,3306,12282,68000
2016,01,門診,13~15,連江縣,3,18,09007
2016,01,門診,13~15,金門縣,87,396,09020
2016,01,門診,13~15,宜蘭縣,551,2138,10002
2016,01,門診,13~15,新竹縣,499,2049,10004
2016,01,門診,13~15,苗栗縣,441,2107,10005
2016,01,門診,13~15,彰化縣,1041,5977,10007
2016,01,門診,13~15,南投縣,502,2212,10008
2016,01,門診,13~15,雲林縣,730,3448,10009
2016,01,門診,13~15,嘉義縣,479,1791,10010
2016,01,門診,13~15,屏東縣,610,3425,10013
2016,01,門診,13~15,台東縣,245,753,10014
2016,01,門診,13~15,花蓮縣,231,1207,10015
2016,01,門診,13~15,澎湖縣,73,582,10016
2016,01,門診,13~15,基隆市,281,1761,10017
2016,01,門診,13~15,新竹市,261,2291,10018
2016,01,門診,13~15,嘉義市,272,2009,10020
2016,01,門診,13~15,台北市,1813,10328,63000
2016,01,門診,13~15,高雄市,2046,11362,64000
2016,01,門診,13~15,新北市,3749,17781,65000
2016,01,門診,13~15,台中市,2187,13283,66000
2016,01,門診,13~15,台南市,1224,7753,67000
2016,01,門診,13~15,桃園市,1606,8975,68000
2016,01,門診,16~18,連江縣,3,17,09007
2016,01,門診,16~18,金門縣,67,462,09020
2016,01,門診,16~18,宜蘭縣,484,1881,10002
2016,01,門診,16~18,新竹縣,494,2098,10004
2016,01,門診,16~18,苗栗縣,508,2220,10005
2016,01,門診,16~18,彰化縣,987,6011,10007
2016,01,門診,16~18,南投縣,381,2064,10008
2016,01,門診,16~18,雲林縣,789,3372,10009
2016,01,門診,16~18,嘉義縣,470,1682,10010
2016,01,門診,16~18,屏東縣,591,3433,10013
2016,01,門診,16~18,台東縣,215,838,10014
2016,01,門診,16~18,花蓮縣,289,1453,10015
2016,01,門診,16~18,澎湖縣,55,503,10016
2016,01,門診,16~18,基隆市,297,1901,10017
2016,01,門診,16~18,新竹市,259,2326,10018
2016,01,門診,16~18,嘉義市,306,2210,10020
2016,01,門診,16~18,台北市,1934,11214,63000
2016,01,門診,16~18,高雄市,2192,12357,64000
2016,01,門診,16~18,新北市,4027,19091,65000
2016,01,門診,16~18,台中市,2369,14410,66000
2016,01,門診,16~18,台南市,1189,8059,67000
2016,01,門診,16~18,桃園市,1637,9659,68000
2016,01,門診,19~24,連江縣,55,149,09007
2016,01,門診,19~24,金門縣,169,707,09020
2016,01,門診,19~24,宜蘭縣,557,3038,10002
2016,01,門診,19~24,新竹縣,667,3233,10004
2016,01,門診,19~24,苗栗縣,666,3485,10005
2016,01,門診,19~24,彰化縣,1282,9356,10007
2016,01,門診,19~24,南投縣,431,2791,10008
2016,01,門診,19~24,雲林縣,693,4817,10009
2016,01,門診,19~24,嘉義縣,599,2791,10010
2016,01,門診,19~24,屏東縣,844,5931,10013
2016,01,門診,19~24,台東縣,201,1149,10014
2016,01,門診,19~24,花蓮縣,377,2724,10015
2016,01,門診,19~24,澎湖縣,115,982,10016
2016,01,門診,19~24,基隆市,475,3090,10017
2016,01,門診,19~24,新竹市,431,4740,10018
2016,01,門診,19~24,嘉義市,360,3585,10020
2016,01,門診,19~24,台北市,3991,26699,63000
2016,01,門診,19~24,高雄市,3723,25309,64000
2016,01,門診,19~24,新北市,5864,34598,65000
2016,01,門診,19~24,台中市,4597,31206,66000
2016,01,門診,19~24,台南市,1999,17503,67000
2016,01,門診,19~24,桃園市,2417,16547,68000
2016,01,門診,25~64,連江縣,96,704,09007
2016,01,門診,25~64,金門縣,1179,7827,09020
2016,01,門診,25~64,宜蘭縣,4808,38176,10002
2016,01,門診,25~64,新竹縣,6503,40084,10004
2016,01,門診,25~64,苗栗縣,6305,44701,10005
2016,01,門診,25~64,彰化縣,12491,124766,10007
2016,01,門診,25~64,南投縣,4711,41622,10008
2016,01,門診,25~64,雲林縣,7860,65096,10009
2016,01,門診,25~64,嘉義縣,4777,35904,10010
2016,01,門診,25~64,屏東縣,7949,78079,10013
2016,01,門診,25~64,台東縣,2358,18610,10014
2016,01,門診,25~64,花蓮縣,3448,35077,10015
2016,01,門診,25~64,澎湖縣,964,12126,10016
2016,01,門診,25~64,基隆市,4541,42074,10017
2016,01,門診,25~64,新竹市,3807,59281,10018
2016,01,門診,25~64,嘉義市,3692,44973,10020
2016,01,門診,25~64,台北市,29991,342593,63000
