確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
19CoV,2020,03,新竹市,北區,F,1,40~44,1,10018,10018020
19CoV,2020,03,新竹市,東區,F,1,20~24,2,10018,10018010
19CoV,2020,03,新竹市,東區,M,0,30~34,1,10018,10018010
19CoV,2020,03,新竹市,東區,M,1,30~34,1,10018,10018010
19CoV,2020,03,新竹市,東區,M,0,4,1,10018,10018010
19CoV,2020,03,新竹市,東區,M,1,40~44,1,10018,10018010
19CoV,2020,03,新竹市,東區,F,0,65~69,1,10018,10018010
19CoV,2020,03,新竹市,香山區,F,1,30~34,1,10018,10018030
19CoV,2020,03,嘉義市,東區,F,1,20~24,1,10020,10020010
19CoV,2020,03,嘉義市,東區,M,1,30~34,1,10020,10020010
19CoV,2020,03,嘉義市,西區,M,1,25~29,1,10020,10020020
19CoV,2020,03,台北市,中山區,F,1,20~24,1,63000,63000040
19CoV,2020,03,台北市,中山區,M,1,20~24,1,63000,63000040
19CoV,2020,03,台北市,中山區,F,1,25~29,2,63000,63000040
19CoV,2020,03,台北市,中山區,M,1,25~29,1,63000,63000040
19CoV,2020,03,台北市,中山區,M,1,30~34,1,63000,63000040
19CoV,2020,03,台北市,中山區,M,1,35~39,2,63000,63000040
19CoV,2020,03,台北市,中山區,F,1,40~44,1,63000,63000040
19CoV,2020,03,台北市,中山區,M,1,50~54,2,63000,63000040
19CoV,2020,03,台北市,中山區,F,1,55~59,2,63000,63000040
19CoV,2020,03,台北市,中山區,F,1,65~69,1,63000,63000040
19CoV,2020,03,台北市,中山區,M,1,65~69,1,63000,63000040
19CoV,2020,03,台北市,中正區,M,1,20~24,1,63000,63000050
19CoV,2020,03,台北市,中正區,F,1,25~29,1,63000,63000050
19CoV,2020,03,台北市,中正區,F,1,35~39,1,63000,63000050
19CoV,2020,03,台北市,中正區,M,1,35~39,1,63000,63000050
19CoV,2020,03,台北市,中正區,M,1,40~44,1,63000,63000050
19CoV,2020,03,台北市,信義區,F,1,20~24,3,63000,63000020
19CoV,2020,03,台北市,信義區,F,1,30~34,2,63000,63000020
19CoV,2020,03,台北市,信義區,M,1,30~34,1,63000,63000020
19CoV,2020,03,台北市,信義區,F,0,35~39,1,63000,63000020
19CoV,2020,03,台北市,信義區,F,1,45~49,1,63000,63000020
19CoV,2020,03,台北市,信義區,F,1,50~54,1,63000,63000020
19CoV,2020,03,台北市,信義區,M,1,60~64,1,63000,63000020
19CoV,2020,03,台北市,內湖區,F,1,15~19,1,63000,63000100
19CoV,2020,03,台北市,內湖區,F,1,20~24,5,63000,63000100
19CoV,2020,03,台北市,內湖區,F,1,25~29,1,63000,63000100
19CoV,2020,03,台北市,內湖區,F,1,30~34,1,63000,63000100
19CoV,2020,03,台北市,內湖區,M,1,30~34,2,63000,63000100
19CoV,2020,03,台北市,內湖區,F,1,35~39,1,63000,63000100
19CoV,2020,03,台北市,內湖區,M,0,35~39,1,63000,63000100
19CoV,2020,03,台北市,內湖區,F,0,45~49,1,63000,63000100
19CoV,2020,03,台北市,內湖區,F,0,50~54,1,63000,63000100
19CoV,2020,03,台北市,內湖區,M,1,50~54,1,63000,63000100
19CoV,2020,03,台北市,內湖區,F,1,60~64,1,63000,63000100
19CoV,2020,03,台北市,內湖區,F,1,65~69,1,63000,63000100
19CoV,2020,03,台北市,內湖區,M,1,70+,1,63000,63000100
19CoV,2020,03,台北市,北投區,M,1,20~24,1,63000,63000120
19CoV,2020,03,台北市,北投區,F,1,25~29,2,63000,63000120
19CoV,2020,03,台北市,北投區,F,1,35~39,1,63000,63000120
19CoV,2020,03,台北市,北投區,M,1,35~39,2,63000,63000120
19CoV,2020,03,台北市,北投區,M,1,55~59,1,63000,63000120
19CoV,2020,03,台北市,北投區,F,1,60~64,1,63000,63000120
19CoV,2020,03,台北市,南港區,M,1,30~34,1,63000,63000090
19CoV,2020,03,台北市,士林區,F,1,20~24,1,63000,63000110
19CoV,2020,03,台北市,士林區,F,1,30~34,1,63000,63000110
19CoV,2020,03,台北市,士林區,M,1,40~44,2,63000,63000110
19CoV,2020,03,台北市,士林區,F,1,45~49,1,63000,63000110
19CoV,2020,03,台北市,士林區,M,1,45~49,1,63000,63000110
19CoV,2020,03,台北市,士林區,F,1,55~59,1,63000,63000110
19CoV,2020,03,台北市,士林區,M,1,60~64,1,63000,63000110
19CoV,2020,03,台北市,大同區,F,0,15~19,1,63000,63000060
19CoV,2020,03,台北市,大同區,F,1,20~24,2,63000,63000060
19CoV,2020,03,台北市,大同區,M,1,65~69,1,63000,63000060
19CoV,2020,03,台北市,大安區,F,1,20~24,4,63000,63000030
19CoV,2020,03,台北市,大安區,M,1,20~24,1,63000,63000030
19CoV,2020,03,台北市,大安區,F,1,25~29,1,63000,63000030
19CoV,2020,03,台北市,大安區,M,1,25~29,1,63000,63000030
19CoV,2020,03,台北市,大安區,F,1,30~34,1,63000,63000030
19CoV,2020,03,台北市,大安區,M,1,30~34,1,63000,63000030
19CoV,2020,03,台北市,大安區,F,1,40~44,1,63000,63000030
19CoV,2020,03,台北市,大安區,F,0,45~49,1,63000,63000030
19CoV,2020,03,台北市,大安區,F,1,55~59,1,63000,63000030
19CoV,2020,03,台北市,大安區,M,1,70+,1,63000,63000030
19CoV,2020,03,台北市,文山區,F,1,20~24,1,63000,63000080
19CoV,2020,03,台北市,文山區,F,1,20~24,1,63000,63000081
19CoV,2020,03,台北市,文山區,F,1,20~24,1,63000,63000082
19CoV,2020,03,台北市,文山區,M,0,20~24,1,63000,63000080
19CoV,2020,03,台北市,文山區,M,0,20~24,1,63000,63000081
19CoV,2020,03,台北市,文山區,M,0,20~24,1,63000,63000082
19CoV,2020,03,台北市,文山區,M,1,25~29,2,63000,63000080
19CoV,2020,03,台北市,文山區,M,1,25~29,2,63000,63000081
19CoV,2020,03,台北市,文山區,M,1,25~29,2,63000,63000082
19CoV,2020,03,台北市,松山區,F,1,25~29,1,63000,63000010
19CoV,2020,03,台北市,松山區,F,1,30~34,1,63000,63000010
19CoV,2020,03,台北市,松山區,M,1,40~44,1,63000,63000010
19CoV,2020,03,台北市,松山區,M,1,55~59,1,63000,63000010
19CoV,2020,03,台北市,萬華區,F,1,15~19,1,63000,63000070
19CoV,2020,03,台北市,萬華區,F,1,15~19,1,63000,63000071
19CoV,2020,03,台北市,萬華區,F,1,15~19,1,63000,63000072
19CoV,2020,03,台北市,萬華區,M,1,20~24,1,63000,63000070
19CoV,2020,03,台北市,萬華區,M,1,20~24,1,63000,63000071
19CoV,2020,03,台北市,萬華區,M,1,20~24,1,63000,63000072
19CoV,2020,03,台北市,萬華區,M,1,25~29,1,63000,63000070
19CoV,2020,03,台北市,萬華區,M,1,25~29,1,63000,63000071
19CoV,2020,03,台北市,萬華區,M,1,25~29,1,63000,63000072
19CoV,2020,03,台北市,萬華區,F,1,30~34,2,63000,63000070
19CoV,2020,03,台北市,萬華區,F,1,30~34,2,63000,63000071
19CoV,2020,03,台北市,萬華區,F,1,30~34,2,63000,63000072
19CoV,2020,03,台北市,萬華區,M,1,30~34,1,63000,63000070
19CoV,2020,03,台北市,萬華區,M,1,30~34,1,63000,63000071
19CoV,2020,03,台北市,萬華區,M,1,30~34,1,63000,63000072
19CoV,2020,03,台北市,萬華區,F,1,35~39,1,63000,63000070
19CoV,2020,03,台北市,萬華區,F,1,35~39,1,63000,63000071
19CoV,2020,03,台北市,萬華區,F,1,35~39,1,63000,63000072
19CoV,2020,03,台北市,萬華區,M,1,40~44,1,63000,63000070
19CoV,2020,03,台北市,萬華區,M,1,40~44,1,63000,63000071
19CoV,2020,03,台北市,萬華區,M,1,40~44,1,63000,63000072
19CoV,2020,03,台北市,萬華區,M,1,55~59,1,63000,63000070
19CoV,2020,03,台北市,萬華區,M,1,55~59,1,63000,63000071
19CoV,2020,03,台北市,萬華區,M,1,55~59,1,63000,63000072
19CoV,2020,03,高雄市,三民區,M,1,20~24,1,64000,64000050
19CoV,2020,03,高雄市,三民區,M,1,20~24,1,64000,64000051
19CoV,2020,03,高雄市,三民區,M,1,20~24,1,64000,64000052
19CoV,2020,03,高雄市,三民區,M,1,30~34,1,64000,64000050
19CoV,2020,03,高雄市,三民區,M,1,30~34,1,64000,64000051
19CoV,2020,03,高雄市,三民區,M,1,30~34,1,64000,64000052
19CoV,2020,03,高雄市,三民區,F,1,45~49,1,64000,64000050
19CoV,2020,03,高雄市,三民區,F,1,45~49,1,64000,64000051
19CoV,2020,03,高雄市,三民區,F,1,45~49,1,64000,64000052
19CoV,2020,03,高雄市,三民區,M,1,70+,1,64000,64000050
19CoV,2020,03,高雄市,三民區,M,1,70+,1,64000,64000051
19CoV,2020,03,高雄市,三民區,M,1,70+,1,64000,64000052
19CoV,2020,03,高雄市,仁武區,M,1,15~19,1,64000,64000170
19CoV,2020,03,高雄市,仁武區,M,1,20~24,1,64000,64000170
19CoV,2020,03,高雄市,前鎮區,M,1,20~24,1,64000,64000090
19CoV,2020,03,高雄市,小港區,F,1,35~39,1,64000,64000110
19CoV,2020,03,高雄市,岡山區,M,1,30~34,1,64000,64000190
19CoV,2020,03,高雄市,左營區,F,1,20~24,1,64000,64000030
19CoV,2020,03,高雄市,左營區,M,1,20~24,1,64000,64000030
19CoV,2020,03,高雄市,左營區,F,1,40~44,1,64000,64000030
19CoV,2020,03,高雄市,新興區,F,1,25~29,2,64000,64000060
19CoV,2020,03,高雄市,楠梓區,F,1,30~34,1,64000,64000040
19CoV,2020,03,高雄市,苓雅區,M,1,30~34,1,64000,64000080
19CoV,2020,03,高雄市,阿蓮區,F,1,25~29,1,64000,64000230
19CoV,2020,03,高雄市,鳳山區,F,1,15~19,1,64000,64000120
19CoV,2020,03,高雄市,鳳山區,M,1,30~34,3,64000,64000120
19CoV,2020,03,高雄市,鳳山區,M,1,35~39,1,64000,64000120
19CoV,2020,03,高雄市,鳳山區,F,1,55~59,1,64000,64000120
19CoV,2020,03,高雄市,鳳山區,M,1,60~64,1,64000,64000120
19CoV,2020,03,高雄市,鹽埕區,F,1,15~19,1,64000,64000010
19CoV,2020,03,高雄市,鼓山區,F,1,25~29,1,64000,64000020
19CoV,2020,03,高雄市,鼓山區,F,1,55~59,1,64000,64000020
19CoV,2020,03,高雄市,鼓山區,F,1,60~64,1,64000,64000020
19CoV,2020,03,新北市,三重區,M,0,15~19,1,65000,65000020
19CoV,2020,03,新北市,三重區,M,1,30~34,1,65000,65000020
19CoV,2020,03,新北市,三重區,M,1,40~44,1,65000,65000020
19CoV,2020,03,新北市,三重區,M,0,70+,1,65000,65000020
19CoV,2020,03,新北市,中和區,M,1,20~24,1,65000,65000030
19CoV,2020,03,新北市,中和區,F,1,25~29,1,65000,65000030
19CoV,2020,03,新北市,中和區,M,1,25~29,1,65000,65000030
19CoV,2020,03,新北市,中和區,F,0,30~34,1,65000,65000030
19CoV,2020,03,新北市,中和區,F,1,30~34,1,65000,65000030
19CoV,2020,03,新北市,中和區,M,1,30~34,1,65000,65000030
19CoV,2020,03,新北市,中和區,F,1,50~54,1,65000,65000030
19CoV,2020,03,新北市,中和區,M,1,55~59,1,65000,65000030
19CoV,2020,03,新北市,中和區,M,1,60~64,1,65000,65000030
19CoV,2020,03,新北市,中和區,F,1,70+,1,65000,65000030
19CoV,2020,03,新北市,中和區,M,1,70+,1,65000,65000030
19CoV,2020,03,新北市,五股區,F,1,20~24,1,65000,65000150
19CoV,2020,03,新北市,五股區,M,0,25~29,1,65000,65000150
19CoV,2020,03,新北市,五股區,M,1,45~49,1,65000,65000150
19CoV,2020,03,新北市,五股區,M,1,60~64,1,65000,65000150
19CoV,2020,03,新北市,八里區,M,1,30~34,1,65000,65000230
19CoV,2020,03,新北市,土城區,F,1,20~24,2,65000,65000130
19CoV,2020,03,新北市,土城區,F,1,25~29,1,65000,65000130
19CoV,2020,03,新北市,土城區,M,1,30~34,1,65000,65000130
19CoV,2020,03,新北市,土城區,F,1,70+,1,65000,65000130
19CoV,2020,03,新北市,新店區,F,1,15~19,2,65000,65000060
19CoV,2020,03,新北市,新店區,F,1,20~24,1,65000,65000060
19CoV,2020,03,新北市,新店區,M,1,20~24,3,65000,65000060
19CoV,2020,03,新北市,新店區,F,1,30~34,2,65000,65000060
19CoV,2020,03,新北市,新店區,M,1,35~39,1,65000,65000060
19CoV,2020,03,新北市,新店區,M,1,45~49,1,65000,65000060
19CoV,2020,03,新北市,新店區,F,0,55~59,1,65000,65000060
19CoV,2020,03,新北市,新店區,M,1,55~59,1,65000,65000060
19CoV,2020,03,新北市,新店區,F,1,60~64,1,65000,65000060
19CoV,2020,03,新北市,新莊區,M,1,15~19,1,65000,65000050
19CoV,2020,03,新北市,新莊區,F,1,20~24,2,65000,65000050
19CoV,2020,03,新北市,新莊區,F,1,25~29,1,65000,65000050
19CoV,2020,03,新北市,新莊區,M,1,25~29,2,65000,65000050
19CoV,2020,03,新北市,新莊區,F,1,30~34,1,65000,65000050
19CoV,2020,03,新北市,新莊區,M,1,35~39,2,65000,65000050
19CoV,2020,03,新北市,新莊區,F,1,50~54,1,65000,65000050
19CoV,2020,03,新北市,板橋區,M,1,20~24,2,65000,65000010
19CoV,2020,03,新北市,板橋區,F,1,25~29,1,65000,65000010
19CoV,2020,03,新北市,板橋區,F,1,30~34,1,65000,65000010
19CoV,2020,03,新北市,板橋區,M,1,30~34,1,65000,65000010
19CoV,2020,03,新北市,板橋區,F,1,35~39,1,65000,65000010
19CoV,2020,03,新北市,板橋區,M,1,4,1,65000,65000010
19CoV,2020,03,新北市,板橋區,F,1,45~49,2,65000,65000010
19CoV,2020,03,新北市,板橋區,M,1,45~49,1,65000,65000010
19CoV,2020,03,新北市,板橋區,F,1,65~69,1,65000,65000010
19CoV,2020,03,新北市,林口區,M,1,25~29,1,65000,65000170
19CoV,2020,03,新北市,林口區,F,1,30~34,1,65000,65000170
19CoV,2020,03,新北市,林口區,F,1,35~39,2,65000,65000170
19CoV,2020,03,新北市,林口區,M,1,60~64,1,65000,65000170
19CoV,2020,03,新北市,永和區,F,1,30~34,1,65000,65000040
19CoV,2020,03,新北市,永和區,M,1,50~54,1,65000,65000040
19CoV,2020,03,新北市,永和區,F,1,65~69,1,65000,65000040
19CoV,2020,03,新北市,永和區,M,1,70+,1,65000,65000040
19CoV,2020,03,新北市,汐止區,F,1,20~24,1,65000,65000110
19CoV,2020,03,新北市,汐止區,M,0,35~39,1,65000,65000110
19CoV,2020,03,新北市,汐止區,M,0,50~54,1,65000,65000110
19CoV,2020,03,新北市,淡水區,F,1,15~19,1,65000,65000100
19CoV,2020,03,新北市,淡水區,F,1,20~24,1,65000,65000100
19CoV,2020,03,新北市,淡水區,M,1,20~24,1,65000,65000100
19CoV,2020,03,新北市,淡水區,F,1,30~34,1,65000,65000100
19CoV,2020,03,新北市,金山區,M,1,25~29,1,65000,65000270
19CoV,2020,03,台中市,北區,F,1,25~29,1,66000,66000050
19CoV,2020,03,台中市,北區,M,1,25~29,1,66000,66000050
19CoV,2020,03,台中市,北區,F,0,30~34,1,66000,66000050
19CoV,2020,03,台中市,北區,F,1,35~39,1,66000,66000050
19CoV,2020,03,台中市,北區,F,1,40~44,1,66000,66000050
19CoV,2020,03,台中市,北屯區,M,1,45~49,1,66000,66000080
19CoV,2020,03,台中市,北屯區,F,1,5~9,1,66000,66000080
19CoV,2020,03,台中市,南屯區,M,1,20~24,1,66000,66000070
19CoV,2020,03,台中市,南屯區,M,1,25~29,1,66000,66000070
19CoV,2020,03,台中市,大里區,F,1,20~24,1,66000,66000280
19CoV,2020,03,台中市,大里區,F,1,25~29,1,66000,66000280
19CoV,2020,03,台中市,大里區,F,0,40~44,1,66000,66000280
19CoV,2020,03,台中市,大里區,M,1,45~49,1,66000,66000280
19CoV,2020,03,台中市,大雅區,M,1,20~24,1,66000,66000180
19CoV,2020,03,台中市,新社區,M,1,60~64,1,66000,66000190
19CoV,2020,03,台中市,東區,M,1,35~39,1,66000,66000020
19CoV,2020,03,台中市,梧棲區,F,1,20~24,1,66000,66000140
19CoV,2020,03,台中市,沙鹿區,F,1,20~24,1,66000,66000130
19CoV,2020,03,台中市,烏日區,F,1,30~34,1,66000,66000230
19CoV,2020,03,台中市,烏日區,M,1,65~69,1,66000,66000230
19CoV,2020,03,台中市,石岡區,F,1,20~24,1,66000,66000200
19CoV,2020,03,台中市,神岡區,F,1,25~29,1,66000,66000160
19CoV,2020,03,台中市,西區,M,1,25~29,1,66000,66000040
19CoV,2020,03,台中市,西屯區,F,1,20~24,1,66000,66000060
19CoV,2020,03,台中市,西屯區,F,1,25~29,1,66000,66000060
19CoV,2020,03,台中市,西屯區,M,1,50~54,1,66000,66000060
19CoV,2020,03,台中市,西屯區,M,1,60~64,1,66000,66000060
19CoV,2020,03,台中市,西屯區,M,1,65~69,1,66000,66000060
19CoV,2020,03,台中市,豐原區,F,1,20~24,1,66000,66000090
19CoV,2020,03,台南市,中西區,M,1,15~19,1,67000,67000370
19CoV,2020,03,台南市,北區,M,1,20~24,1,67000,67000340
19CoV,2020,03,台南市,北區,M,1,45~49,1,67000,67000340
19CoV,2020,03,台南市,北區,M,1,50~54,1,67000,67000340
19CoV,2020,03,台南市,善化區,F,1,25~29,1,67000,67000190
19CoV,2020,03,台南市,善化區,M,1,30~34,1,67000,67000190
19CoV,2020,03,台南市,安南區,F,1,20~24,1,67000,67000350
19CoV,2020,03,台南市,新市區,F,0,25~29,1,67000,67000200
19CoV,2020,03,台南市,東區,F,1,15~19,1,67000,67000320
19CoV,2020,03,台南市,東區,M,1,15~19,1,67000,67000320
19CoV,2020,03,台南市,東區,F,1,20~24,1,67000,67000320
19CoV,2020,03,台南市,東區,M,1,20~24,3,67000,67000320
19CoV,2020,03,桃園市,中壢區,F,1,25~29,1,68000,68000020
19CoV,2020,03,桃園市,中壢區,M,0,35~39,1,68000,68000020
19CoV,2020,03,桃園市,中壢區,M,0,4,1,68000,68000020
19CoV,2020,03,桃園市,中壢區,F,1,55~59,1,68000,68000020
19CoV,2020,03,桃園市,八德區,F,1,60~64,1,68000,68000080
19CoV,2020,03,桃園市,大園區,M,1,50~54,1,68000,68000060
19CoV,2020,03,桃園市,平鎮區,F,1,50~54,1,68000,68000100
19CoV,2020,03,桃園市,平鎮區,M,1,55~59,1,68000,68000100
19CoV,2020,03,桃園市,桃園區,M,1,15~19,2,68000,68000010
19CoV,2020,03,桃園市,桃園區,F,1,20~24,2,68000,68000010
19CoV,2020,03,桃園市,桃園區,M,1,25~29,1,68000,68000010
19CoV,2020,03,桃園市,桃園區,M,1,30~34,1,68000,68000010
19CoV,2020,03,桃園市,桃園區,M,1,40~44,1,68000,68000010
19CoV,2020,03,桃園市,桃園區,M,1,55~59,1,68000,68000010
19CoV,2020,03,桃園市,桃園區,F,1,65~69,1,68000,68000010
19CoV,2020,03,桃園市,楊梅區,F,1,20~24,2,68000,68000040
19CoV,2020,03,桃園市,蘆竹區,F,1,15~19,1,68000,68000050
19CoV,2020,03,桃園市,蘆竹區,M,0,20~24,1,68000,68000050
19CoV,2020,03,桃園市,蘆竹區,F,0,25~29,1,68000,68000050
19CoV,2020,03,桃園市,蘆竹區,M,1,30~34,1,68000,68000050
19CoV,2020,03,桃園市,龜山區,M,1,15~19,1,68000,68000070
19CoV,2020,03,桃園市,龜山區,F,0,20~24,1,68000,68000070
19CoV,2020,03,桃園市,龜山區,F,1,20~24,1,68000,68000070
19CoV,2020,03,桃園市,龜山區,M,0,45~49,1,68000,68000070
19CoV,2020,03,桃園市,龜山區,F,1,60~64,2,68000,68000070
19CoV,2020,03,桃園市,龜山區,M,1,60~64,2,68000,68000070
19CoV,2020,04,新竹縣,竹北市,F,1,30~34,1,10004,10004010
19CoV,2020,04,彰化縣,彰化市,M,1,30~34,1,10007,10007010
19CoV,2020,04,雲林縣,斗南鎮,M,1,25~29,1,10009,10009020
19CoV,2020,04,屏東縣,九如鄉,M,1,20~24,1,10013,10013080
19CoV,2020,04,屏東縣,新埤鄉,M,1,25~29,1,10013,10013150
19CoV,2020,04,屏東縣,潮州鎮,M,1,20~24,1,10013,10013020
19CoV,2020,04,屏東縣,長治鄉,M,1,20~24,1,10013,10013060
19CoV,2020,04,基隆市,仁愛區,M,1,25~29,1,10017,10017040
19CoV,2020,04,基隆市,信義區,F,1,30~34,1,10017,10017070
19CoV,2020,04,基隆市,信義區,M,1,30~34,1,10017,10017070
19CoV,2020,04,新竹市,東區,M,1,65~69,1,10018,10018010
19CoV,2020,04,嘉義市,西區,F,1,20~24,1,10020,10020020
19CoV,2020,04,台北市,中山區,F,1,60~64,1,63000,63000040
19CoV,2020,04,台北市,中山區,M,1,60~64,1,63000,63000040
19CoV,2020,04,台北市,信義區,M,1,25~29,1,63000,63000020
19CoV,2020,04,台北市,北投區,M,1,20~24,1,63000,63000120
19CoV,2020,04,台北市,士林區,F,1,20~24,1,63000,63000110
19CoV,2020,04,台北市,大同區,F,1,20~24,1,63000,63000060
19CoV,2020,04,台北市,文山區,M,0,20~24,1,63000,63000080
19CoV,2020,04,台北市,文山區,M,0,20~24,1,63000,63000081
19CoV,2020,04,台北市,文山區,M,0,20~24,1,63000,63000082
19CoV,2020,04,台北市,文山區,F,1,60~64,1,63000,63000080
