確定病名,個案研判日,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
19SC,2024-09-01,台北市,士林區,M,0,70+,1,63000,63000110
19SC,2024-09-02,苗栗縣,後龍鎮,M,0,35~39,1,10005,10005060
19SC,2024-09-02,苗栗縣,後龍鎮,F,0,70+,1,10005,10005060
19SC,2024-09-02,彰化縣,芳苑鄉,M,0,70+,1,10007,10007230
19SC,2024-09-02,南投縣,竹山鎮,F,0,70+,1,10008,10008040
19SC,2024-09-02,雲林縣,土庫鎮,M,0,70+,1,10009,10009050
19SC,2024-09-02,嘉義縣,大林鎮,F,0,70+,1,10010,10010040
19SC,2024-09-02,嘉義縣,民雄鄉,F,0,60~64,1,10010,10010050
19SC,2024-09-02,台東縣,台東市,F,0,70+,1,10014,10014010
19SC,2024-09-02,新北市,永和區,M,0,70+,1,65000,65000040
19SC,2024-09-02,台中市,大里區,M,0,50~54,1,66000,66000280
19SC,2024-09-02,台南市,南區,M,0,65~69,1,67000,67000330
19SC,2024-09-02,台南市,南區,M,0,70+,1,67000,67000330
19SC,2024-09-03,彰化縣,和美鎮,M,0,70+,1,10007,10007030
19SC,2024-09-03,彰化縣,永靖鄉,M,0,65~69,1,10007,10007160
19SC,2024-09-03,雲林縣,西螺鎮,F,0,40~44,1,10009,10009040
19SC,2024-09-03,嘉義縣,竹崎鄉,M,0,60~64,1,10010,10010140
19SC,2024-09-03,屏東縣,新園鄉,M,0,70+,1,10013,10013170
19SC,2024-09-03,嘉義市,西區,M,0,70+,1,10020,10020020
19SC,2024-09-03,台中市,豐原區,M,0,70+,1,66000,66000090
19SC,2024-09-03,台南市,北區,M,0,70+,1,67000,67000340
19SC,2024-09-03,台南市,東區,M,0,70+,1,67000,67000320
19SC,2024-09-04,彰化縣,彰化市,F,0,70+,1,10007,10007010
19SC,2024-09-04,彰化縣,田中鎮,F,0,70+,1,10007,10007120
19SC,2024-09-04,台東縣,延平鄉,F,0,40~44,1,10014,10014130
19SC,2024-09-04,嘉義市,西區,M,0,65~69,1,10020,10020020
19SC,2024-09-04,台北市,萬華區,M,0,70+,1,63000,63000070
19SC,2024-09-04,台北市,萬華區,M,0,70+,1,63000,63000071
19SC,2024-09-04,台北市,萬華區,M,0,70+,1,63000,63000072
19SC,2024-09-04,高雄市,燕巢區,M,0,70+,1,64000,64000210
19SC,2024-09-04,新北市,中和區,F,0,70+,1,65000,65000030
19SC,2024-09-04,台中市,大里區,M,0,70+,1,66000,66000280
19SC,2024-09-04,台中市,沙鹿區,M,0,70+,1,66000,66000130
19SC,2024-09-05,嘉義市,西區,F,0,70+,1,10020,10020020
19SC,2024-09-05,高雄市,旗山區,M,0,65~69,1,64000,64000300
19SC,2024-09-05,台中市,南屯區,F,0,70+,1,66000,66000070
19SC,2024-09-05,台中市,大雅區,F,0,60~64,1,66000,66000180
19SC,2024-09-05,台南市,鹽水區,M,0,70+,1,67000,67000020
19SC,2024-09-05,桃園市,大溪區,M,0,70+,1,68000,68000030
19SC,2024-09-05,桃園市,桃園區,F,0,70+,1,68000,68000010
19SC,2024-09-05,桃園市,楊梅區,F,0,55~59,1,68000,68000040
19SC,2024-09-06,雲林縣,斗南鎮,M,0,40~44,1,10009,10009020
19SC,2024-09-06,雲林縣,麥寮鄉,M,0,70+,1,10009,10009130
19SC,2024-09-06,嘉義縣,太保市,M,0,70+,1,10010,10010010
19SC,2024-09-06,屏東縣,內埔鄉,M,0,35~39,1,10013,10013130
19SC,2024-09-06,屏東縣,新園鄉,M,0,65~69,1,10013,10013170
19SC,2024-09-06,嘉義市,東區,F,0,70+,1,10020,10020010
19SC,2024-09-06,高雄市,旗山區,M,0,70+,1,64000,64000300
19SC,2024-09-06,台南市,永康區,M,0,55~59,1,67000,67000310
19SC,2024-09-07,台南市,安平區,M,0,70+,1,67000,67000360
19SC,2024-09-08,高雄市,楠梓區,F,0,50~54,1,64000,64000040
19SC,2024-09-09,彰化縣,埤頭鄉,M,0,70+,1,10007,10007220
19SC,2024-09-09,彰化縣,田中鎮,M,0,70+,1,10007,10007120
19SC,2024-09-09,屏東縣,枋山鄉,M,0,70+,1,10013,10013250
19SC,2024-09-09,新竹市,東區,M,0,70+,1,10018,10018010
19SC,2024-09-09,高雄市,小港區,M,0,70+,1,64000,64000110
19SC,2024-09-09,台中市,后里區,M,0,60~64,1,66000,66000150
19SC,2024-09-09,台中市,梧棲區,F,0,70+,1,66000,66000140
19SC,2024-09-09,台中市,豐原區,M,0,70+,1,66000,66000090
19SC,2024-09-09,桃園市,平鎮區,M,0,70+,2,68000,68000100
19SC,2024-09-09,桃園市,桃園區,M,0,70+,1,68000,68000010
19SC,2024-09-10,南投縣,鹿谷鄉,M,0,70+,1,10008,10008070
19SC,2024-09-10,屏東縣,鹽埔鄉,F,0,70+,1,10013,10013100
19SC,2024-09-10,花蓮縣,花蓮市,F,0,70+,1,10015,10015010
19SC,2024-09-10,高雄市,路竹區,M,0,70+,1,64000,64000240
19SC,2024-09-10,新北市,新莊區,M,0,65~69,1,65000,65000050
19SC,2024-09-10,台中市,大里區,F,0,70+,1,66000,66000280
