確定病名,死亡年份,死亡週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,死亡病例數,縣市別代碼,鄉鎮別代碼
19SC,2024,39,台南市,安平區,M,0,70+,1,67000,67000360
19SC,2024,39,台南市,新市區,F,0,70+,1,67000,67000200
19SC,2024,39,桃園市,平鎮區,M,0,70+,1,68000,68000100
19SC,2024,39,桃園市,觀音區,F,0,70+,1,68000,68000120
19SC,2024,40,苗栗縣,苑裡鎮,F,0,70+,1,10005,10005020
19SC,2024,40,彰化縣,埤頭鄉,M,0,70+,1,10007,10007220
19SC,2024,40,雲林縣,虎尾鎮,M,0,70+,1,10009,10009030
19SC,2024,40,雲林縣,麥寮鄉,M,0,70+,1,10009,10009130
19SC,2024,40,花蓮縣,壽豐鄉,M,0,70+,1,10015,10015060
19SC,2024,40,高雄市,前鎮區,F,0,70+,1,64000,64000090
19SC,2024,41,新竹縣,竹北市,F,0,70+,1,10004,10004010
19SC,2024,41,彰化縣,北斗鎮,M,0,70+,1,10007,10007190
19SC,2024,41,基隆市,信義區,F,0,70+,1,10017,10017070
19SC,2024,41,台中市,北區,M,0,70+,1,66000,66000050
19SC,2024,41,台中市,清水區,F,0,70+,1,66000,66000120
19SC,2024,42,宜蘭縣,羅東鎮,M,0,70+,1,10002,10002020
19SC,2024,42,雲林縣,西螺鎮,M,0,70+,1,10009,10009040
19SC,2024,42,基隆市,仁愛區,M,0,70+,1,10017,10017040
19SC,2024,42,台北市,士林區,M,0,70+,1,63000,63000110
19SC,2024,42,高雄市,岡山區,M,0,70+,1,64000,64000190
19SC,2024,42,新北市,汐止區,M,0,70+,1,65000,65000110
19SC,2024,42,台中市,梧棲區,M,0,70+,1,66000,66000140
19SC,2024,43,新竹縣,湖口鄉,M,0,55~59,1,10004,10004050
19SC,2024,43,彰化縣,田中鎮,M,0,70+,1,10007,10007120
19SC,2024,43,屏東縣,車城鄉,F,0,55~59,1,10013,10013230
19SC,2024,43,台南市,佳里區,M,0,70+,1,67000,67000120
19SC,2024,44,宜蘭縣,三星鄉,F,0,65~69,1,10002,10002100
19SC,2024,44,雲林縣,虎尾鎮,M,0,70+,1,10009,10009030
19SC,2024,44,台中市,霧峰區,M,0,70+,1,66000,66000260
19SC,2024,44,台南市,東區,F,0,70+,1,67000,67000320
19SC,2024,44,台南市,東區,M,0,70+,1,67000,67000320
19SC,2024,44,桃園市,龜山區,F,0,60~64,1,68000,68000070
19SC,2024,45,苗栗縣,大湖鄉,F,0,70+,1,10005,10005080
19SC,2024,45,彰化縣,彰化市,F,0,70+,1,10007,10007010
19SC,2024,45,南投縣,魚池鄉,M,0,70+,1,10008,10008090
19SC,2024,45,屏東縣,屏東市,F,0,70+,1,10013,10013010
19SC,2024,45,新竹市,北區,M,0,50~54,1,10018,10018020
19SC,2024,45,嘉義市,西區,M,0,65~69,1,10020,10020020
19SC,2024,45,台北市,中正區,F,0,65~69,1,63000,63000050
19SC,2024,45,新北市,新莊區,M,0,70+,1,65000,65000050
19SC,2024,45,新北市,板橋區,M,0,70+,1,65000,65000010
19SC,2024,45,台中市,太平區,M,0,70+,1,66000,66000270
19SC,2024,46,屏東縣,東港鎮,F,0,70+,1,10013,10013030
19SC,2024,46,高雄市,林園區,M,0,70+,1,64000,64000130
19SC,2024,46,新北市,土城區,M,0,70+,1,65000,65000130
19SC,2024,46,新北市,林口區,M,0,70+,1,65000,65000170
19SC,2024,46,台中市,西區,F,0,70+,1,66000,66000040
19SC,2024,46,台中市,豐原區,M,0,70+,1,66000,66000090
19SC,2024,47,雲林縣,虎尾鎮,M,0,70+,1,10009,10009030
19SC,2024,47,新竹市,香山區,M,0,60~64,1,10018,10018030
19SC,2024,47,新北市,汐止區,M,0,70+,1,65000,65000110
19SC,2024,47,台中市,南屯區,M,0,70+,1,66000,66000070
19SC,2024,48,台中市,北屯區,F,0,70+,1,66000,66000080
19SC,2024,49,新竹縣,芎林鄉,M,0,70+,1,10004,10004070
19SC,2024,50,彰化縣,花壇鄉,M,0,70+,1,10007,10007080
19SC,2024,50,雲林縣,斗南鎮,M,0,70+,1,10009,10009020
19SC,2024,50,台東縣,台東市,F,0,70+,1,10014,10014010
19SC,2024,50,台東縣,台東市,M,0,70+,1,10014,10014010
19SC,2024,50,台北市,內湖區,M,0,70+,1,63000,63000100
19SC,2024,50,新北市,板橋區,M,0,70+,1,65000,65000010
19SC,2024,51,嘉義縣,民雄鄉,F,0,70+,1,10010,10010050
19SC,2024,51,屏東縣,潮州鎮,F,0,70+,1,10013,10013020
19SC,2024,51,新北市,樹林區,M,0,35~39,1,65000,65000070
19SC,2024,51,桃園市,楊梅區,M,0,70+,1,68000,68000040
