年,週,就診類別,年齡別,縣市,腹瀉健保就診人次,健保就診總人次,縣市別代碼
2016,01,住院,65+,嘉義縣,1,154,10010
2016,01,住院,65+,屏東縣,3,136,10013
2016,01,住院,65+,台東縣,0,1,10014
2016,01,住院,65+,花蓮縣,0,91,10015
2016,01,住院,65+,澎湖縣,0,1,10016
2016,01,住院,65+,基隆市,1,64,10017
2016,01,住院,65+,新竹市,0,275,10018
2016,01,住院,65+,嘉義市,0,16,10020
2016,01,住院,65+,台北市,5,2883,63000
2016,01,住院,65+,高雄市,5,516,64000
2016,01,住院,65+,新北市,5,529,65000
2016,01,住院,65+,台中市,13,1023,66000
2016,01,住院,65+,台南市,3,580,67000
2016,01,住院,65+,桃園市,2,269,68000
2016,01,住院,7~12,宜蘭縣,3,32,10002
2016,01,住院,7~12,新竹縣,0,1,10004
2016,01,住院,7~12,苗栗縣,1,9,10005
2016,01,住院,7~12,彰化縣,6,32,10007
2016,01,住院,7~12,南投縣,2,4,10008
2016,01,住院,7~12,雲林縣,1,7,10009
2016,01,住院,7~12,嘉義縣,1,4,10010
2016,01,住院,7~12,屏東縣,1,4,10013
2016,01,住院,7~12,台東縣,0,1,10014
2016,01,住院,7~12,花蓮縣,0,2,10015
2016,01,住院,7~12,新竹市,0,13,10018
2016,01,住院,7~12,台北市,5,104,63000
2016,01,住院,7~12,高雄市,1,26,64000
2016,01,住院,7~12,新北市,2,23,65000
2016,01,住院,7~12,台中市,5,57,66000
2016,01,住院,7~12,台南市,0,10,67000
2016,01,住院,7~12,桃園市,1,26,68000
2016,01,門診,0~2,連江縣,0,22,09007
2016,01,門診,0~2,金門縣,10,389,09020
2016,01,門診,0~2,宜蘭縣,104,2203,10002
2016,01,門診,0~2,新竹縣,204,3335,10004
2016,01,門診,0~2,苗栗縣,187,2843,10005
2016,01,門診,0~2,彰化縣,428,7785,10007
2016,01,門診,0~2,南投縣,154,2561,10008
2016,01,門診,0~2,雲林縣,184,3467,10009
2016,01,門診,0~2,嘉義縣,74,1313,10010
2016,01,門診,0~2,屏東縣,252,4237,10013
2016,01,門診,0~2,台東縣,40,766,10014
2016,01,門診,0~2,花蓮縣,96,1666,10015
2016,01,門診,0~2,澎湖縣,30,382,10016
2016,01,門診,0~2,基隆市,150,1809,10017
2016,01,門診,0~2,新竹市,252,4135,10018
2016,01,門診,0~2,嘉義市,168,2221,10020
2016,01,門診,0~2,台北市,682,11700,63000
2016,01,門診,0~2,高雄市,972,15802,64000
2016,01,門診,0~2,新北市,1581,23953,65000
2016,01,門診,0~2,台中市,1240,18378,66000
2016,01,門診,0~2,台南市,717,10495,67000
2016,01,門診,0~2,桃園市,764,12282,68000
2016,01,門診,13~15,連江縣,0,18,09007
2016,01,門診,13~15,金門縣,10,396,09020
2016,01,門診,13~15,宜蘭縣,79,2138,10002
2016,01,門診,13~15,新竹縣,124,2049,10004
2016,01,門診,13~15,苗栗縣,111,2107,10005
2016,01,門診,13~15,彰化縣,255,5977,10007
2016,01,門診,13~15,南投縣,101,2212,10008
2016,01,門診,13~15,雲林縣,126,3448,10009
2016,01,門診,13~15,嘉義縣,87,1791,10010
2016,01,門診,13~15,屏東縣,143,3425,10013
2016,01,門診,13~15,台東縣,24,753,10014
2016,01,門診,13~15,花蓮縣,47,1207,10015
2016,01,門診,13~15,澎湖縣,14,582,10016
2016,01,門診,13~15,基隆市,110,1761,10017
2016,01,門診,13~15,新竹市,87,2291,10018
2016,01,門診,13~15,嘉義市,103,2009,10020
2016,01,門診,13~15,台北市,425,10328,63000
2016,01,門診,13~15,高雄市,529,11362,64000
2016,01,門診,13~15,新北市,948,17781,65000
2016,01,門診,13~15,台中市,608,13283,66000
2016,01,門診,13~15,台南市,396,7753,67000
2016,01,門診,13~15,桃園市,369,8975,68000
2016,01,門診,16~18,連江縣,0,17,09007
2016,01,門診,16~18,金門縣,17,462,09020
2016,01,門診,16~18,宜蘭縣,64,1881,10002
2016,01,門診,16~18,新竹縣,105,2098,10004
2016,01,門診,16~18,苗栗縣,133,2220,10005
2016,01,門診,16~18,彰化縣,281,6011,10007
2016,01,門診,16~18,南投縣,107,2064,10008
