年,週,年齡別,縣市,紅眼症急診就診人次,縣市別代碼
2007,05,0~6,彰化縣,1,10007
2007,05,0~6,新北市,4,65000
2007,05,0~6,新竹市,2,10018
2007,05,0~6,高雄市,5,64000
2007,05,0~6,台北市,6,63000
2007,05,0~6,台中市,5,66000
2007,05,0~6,台南市,2,67000
2007,05,0~6,台東縣,2,10014
2007,05,0~6,基隆市,6,10017
2007,05,13~18,高雄市,2,64000
2007,05,13~18,台北市,1,63000
2007,05,13~18,台中市,1,66000
2007,05,13~18,基隆市,1,10017
2007,05,19~64,嘉義縣,1,10010
2007,05,19~64,桃園市,9,68000
2007,05,19~64,彰化縣,2,10007
2007,05,19~64,宜蘭縣,1,10002
2007,05,19~64,新北市,1,65000
2007,05,19~64,新竹市,3,10018
2007,05,19~64,高雄市,14,64000
2007,05,19~64,台北市,10,63000
2007,05,19~64,台中市,6,66000
2007,05,19~64,台南市,1,67000
2007,05,19~64,台東縣,1,10014
2007,05,19~64,雲林縣,1,10009
2007,05,19~64,基隆市,2,10017
2007,05,65+,宜蘭縣,1,10002
2007,05,65+,高雄市,1,64000
2007,05,65+,台中市,1,66000
2007,05,65+,台東縣,1,10014
2007,05,65+,基隆市,1,10017
2007,05,7~12,彰化縣,1,10007
2007,05,7~12,新北市,2,65000
2007,05,7~12,台北市,3,63000
2007,05,7~12,台中市,1,66000
2007,05,7~12,台東縣,1,10014
2007,05,7~12,基隆市,2,10017
2007,06,0~6,嘉義縣,1,10010
2007,06,0~6,桃園市,5,68000
2007,06,0~6,新北市,2,65000
2007,06,0~6,新竹市,3,10018
2007,06,0~6,高雄市,5,64000
2007,06,0~6,台北市,8,63000
2007,06,0~6,基隆市,2,10017
2007,06,13~18,桃園市,2,68000
2007,06,13~18,彰化縣,1,10007
2007,06,13~18,新北市,1,65000
2007,06,13~18,高雄市,2,64000
2007,06,13~18,台中市,1,66000
2007,06,19~64,嘉義縣,5,10010
2007,06,19~64,桃園市,8,68000
2007,06,19~64,宜蘭縣,1,10002
2007,06,19~64,新北市,5,65000
2007,06,19~64,新竹市,9,10018
2007,06,19~64,花蓮縣,1,10015
2007,06,19~64,苗栗縣,1,10005
2007,06,19~64,高雄市,17,64000
2007,06,19~64,台北市,17,63000
2007,06,19~64,台中市,2,66000
2007,06,19~64,台南市,2,67000
2007,06,19~64,台東縣,2,10014
2007,06,19~64,基隆市,2,10017
2007,06,65+,嘉義縣,1,10010
2007,06,65+,桃園市,1,68000
2007,06,65+,宜蘭縣,1,10002
2007,06,65+,新北市,1,65000
2007,06,65+,新竹市,3,10018
2007,06,65+,高雄市,4,64000
2007,06,65+,台北市,4,63000
2007,06,7~12,嘉義縣,1,10010
2007,06,7~12,桃園市,1,68000
2007,06,7~12,宜蘭縣,1,10002
2007,06,7~12,新竹市,1,10018
2007,06,7~12,高雄市,2,64000
2007,06,7~12,台北市,2,63000
2007,07,0~6,嘉義縣,1,10010
2007,07,0~6,桃園市,2,68000
2007,07,0~6,彰化縣,2,10007
2007,07,0~6,新北市,7,65000
2007,07,0~6,新竹市,5,10018
2007,07,0~6,新竹縣,1,10004
2007,07,0~6,苗栗縣,2,10005
2007,07,0~6,高雄市,10,64000
2007,07,0~6,台北市,14,63000
2007,07,0~6,台中市,4,66000
2007,07,0~6,台東縣,3,10014
2007,07,0~6,雲林縣,1,10009
2007,07,0~6,基隆市,3,10017
2007,07,13~18,桃園市,1,68000
2007,07,13~18,彰化縣,1,10007
2007,07,13~18,新北市,1,65000
2007,07,13~18,高雄市,2,64000
2007,07,13~18,台北市,3,63000
2007,07,13~18,台中市,1,66000
2007,07,13~18,台東縣,1,10014
2007,07,19~64,嘉義縣,5,10010
2007,07,19~64,桃園市,8,68000
2007,07,19~64,屏東縣,1,10013
2007,07,19~64,彰化縣,4,10007
2007,07,19~64,宜蘭縣,5,10002
2007,07,19~64,新北市,6,65000
2007,07,19~64,新竹市,13,10018
2007,07,19~64,高雄市,20,64000
2007,07,19~64,台北市,19,63000
2007,07,19~64,台中市,13,66000
2007,07,19~64,台南市,1,67000
2007,07,19~64,台東縣,1,10014
2007,07,19~64,雲林縣,1,10009
2007,07,19~64,基隆市,5,10017
2007,07,65+,宜蘭縣,1,10002
2007,07,65+,新北市,1,65000
2007,07,65+,新竹市,1,10018
2007,07,65+,花蓮縣,1,10015
2007,07,65+,高雄市,7,64000
2007,07,65+,台北市,6,63000
2007,07,65+,台東縣,1,10014
2007,07,65+,基隆市,1,10017
2007,07,7~12,嘉義縣,1,10010
2007,07,7~12,桃園市,1,68000
2007,07,7~12,彰化縣,1,10007
2007,07,7~12,宜蘭縣,1,10002
2007,07,7~12,新北市,3,65000
2007,07,7~12,新竹市,1,10018
2007,07,7~12,花蓮縣,1,10015
2007,07,7~12,高雄市,3,64000
2007,07,7~12,台北市,4,63000
2007,07,7~12,台中市,2,66000
2007,08,0~6,嘉義縣,4,10010
2007,08,0~6,桃園市,18,68000
2007,08,0~6,屏東縣,8,10013
2007,08,0~6,南投縣,2,10008
2007,08,0~6,彰化縣,11,10007
2007,08,0~6,宜蘭縣,3,10002
2007,08,0~6,新北市,7,65000
2007,08,0~6,新竹市,15,10018
2007,08,0~6,花蓮縣,2,10015
2007,08,0~6,苗栗縣,2,10005
2007,08,0~6,高雄市,27,64000
2007,08,0~6,台北市,24,63000
2007,08,0~6,台中市,11,66000
2007,08,0~6,台東縣,1,10014
2007,08,0~6,基隆市,3,10017
2007,08,13~18,桃園市,5,68000
2007,08,13~18,彰化縣,1,10007
2007,08,13~18,宜蘭縣,1,10002
2007,08,13~18,新竹市,2,10018
2007,08,13~18,高雄市,4,64000
2007,08,13~18,台北市,7,63000
2007,08,13~18,台中市,2,66000
2007,08,13~18,基隆市,2,10017
2007,08,19~64,嘉義縣,8,10010
2007,08,19~64,桃園市,25,68000
2007,08,19~64,屏東縣,4,10013
2007,08,19~64,南投縣,1,10008
2007,08,19~64,彰化縣,14,10007
2007,08,19~64,宜蘭縣,3,10002
2007,08,19~64,新北市,6,65000
2007,08,19~64,新竹市,27,10018
2007,08,19~64,花蓮縣,2,10015
2007,08,19~64,高雄市,54,64000
2007,08,19~64,台北市,55,63000
2007,08,19~64,台中市,15,66000
2007,08,19~64,台南市,8,67000
2007,08,19~64,台東縣,7,10014
2007,08,19~64,基隆市,6,10017
2007,08,65+,嘉義縣,1,10010
2007,08,65+,桃園市,1,68000
2007,08,65+,南投縣,1,10008
2007,08,65+,彰化縣,1,10007
2007,08,65+,宜蘭縣,1,10002
2007,08,65+,新竹市,6,10018
2007,08,65+,花蓮縣,1,10015
2007,08,65+,高雄市,10,64000
2007,08,65+,台北市,13,63000
2007,08,65+,台中市,3,66000
2007,08,65+,台南市,1,67000
2007,08,65+,基隆市,1,10017
2007,08,7~12,嘉義縣,1,10010
2007,08,7~12,桃園市,6,68000
2007,08,7~12,屏東縣,2,10013
2007,08,7~12,新北市,2,65000
2007,08,7~12,新竹市,4,10018
2007,08,7~12,苗栗縣,1,10005
2007,08,7~12,高雄市,4,64000
2007,08,7~12,台北市,4,63000
2007,08,7~12,台中市,2,66000
2007,08,7~12,台東縣,1,10014
2007,08,7~12,基隆市,4,10017
2007,09,0~6,桃園市,3,68000
2007,09,0~6,屏東縣,1,10013
2007,09,0~6,南投縣,1,10008
2007,09,0~6,彰化縣,2,10007
2007,09,0~6,宜蘭縣,2,10002
2007,09,0~6,新北市,9,65000
2007,09,0~6,新竹市,3,10018
2007,09,0~6,苗栗縣,1,10005
2007,09,0~6,高雄市,12,64000
2007,09,0~6,台北市,12,63000
2007,09,0~6,台中市,2,66000
2007,09,0~6,台東縣,2,10014
2007,09,0~6,基隆市,1,10017
2007,09,13~18,新北市,1,65000
2007,09,13~18,高雄市,2,64000
2007,09,13~18,台北市,2,63000
2007,09,13~18,台中市,1,66000
2007,09,19~64,嘉義縣,2,10010
2007,09,19~64,桃園市,10,68000
2007,09,19~64,屏東縣,1,10013
2007,09,19~64,彰化縣,3,10007
2007,09,19~64,宜蘭縣,2,10002
2007,09,19~64,新北市,3,65000
2007,09,19~64,新竹市,5,10018
2007,09,19~64,花蓮縣,1,10015
2007,09,19~64,苗栗縣,1,10005
2007,09,19~64,高雄市,18,64000
2007,09,19~64,台北市,32,63000
2007,09,19~64,台中市,4,66000
2007,09,19~64,台南市,2,67000
2007,09,19~64,雲林縣,1,10009
2007,09,19~64,基隆市,2,10017
2007,09,65+,桃園市,1,68000
2007,09,65+,南投縣,1,10008
2007,09,65+,彰化縣,1,10007
2007,09,65+,高雄市,1,64000
2007,09,65+,台北市,4,63000
2007,09,65+,台中市,1,66000
2007,09,65+,台東縣,1,10014
2007,09,65+,雲林縣,1,10009
2007,09,7~12,彰化縣,1,10007
2007,09,7~12,新北市,1,65000
2007,09,7~12,新竹市,1,10018
2007,09,7~12,高雄市,2,64000
2007,09,7~12,台北市,6,63000
2007,09,7~12,台中市,1,66000
2007,09,7~12,台南市,1,67000
2007,09,7~12,基隆市,1,10017
2007,10,0~6,嘉義縣,1,10010
2007,10,0~6,桃園市,4,68000
2007,10,0~6,屏東縣,1,10013
2007,10,0~6,彰化縣,1,10007
2007,10,0~6,宜蘭縣,1,10002
2007,10,0~6,新北市,7,65000
2007,10,0~6,新竹市,1,10018
2007,10,0~6,花蓮縣,1,10015
2007,10,0~6,高雄市,5,64000
2007,10,0~6,台北市,6,63000
2007,10,0~6,雲林縣,1,10009
2007,10,0~6,基隆市,1,10017
2007,10,13~18,嘉義縣,1,10010
2007,10,13~18,桃園市,1,68000
2007,10,13~18,新北市,1,65000
2007,10,13~18,高雄市,2,64000
2007,10,13~18,台中市,2,66000
2007,10,19~64,桃園市,11,68000
2007,10,19~64,屏東縣,1,10013
2007,10,19~64,彰化縣,1,10007
2007,10,19~64,宜蘭縣,1,10002
2007,10,19~64,新北市,4,65000
2007,10,19~64,新竹市,8,10018
2007,10,19~64,花蓮縣,2,10015
2007,10,19~64,苗栗縣,1,10005
2007,10,19~64,高雄市,13,64000
2007,10,19~64,台北市,18,63000
2007,10,19~64,台中市,8,66000
2007,10,19~64,台南市,1,67000
2007,10,19~64,台東縣,3,10014
2007,10,19~64,雲林縣,1,10009
2007,10,19~64,基隆市,1,10017
2007,10,65+,桃園市,1,68000
2007,10,65+,新竹市,1,10018
2007,10,65+,高雄市,2,64000
2007,10,7~12,花蓮縣,1,10015
2007,10,7~12,高雄市,2,64000
2007,10,7~12,台北市,3,63000
2007,11,0~6,嘉義市,1,10020
2007,11,0~6,嘉義縣,1,10010
2007,11,0~6,桃園市,1,68000
2007,11,0~6,屏東縣,1,10013
2007,11,0~6,彰化縣,1,10007
2007,11,0~6,新北市,5,65000
2007,11,0~6,新竹市,1,10018
2007,11,0~6,花蓮縣,1,10015
2007,11,0~6,高雄市,1,64000
2007,11,0~6,台北市,9,63000
2007,11,0~6,台東縣,1,10014
2007,11,0~6,雲林縣,1,10009
2007,11,13~18,新北市,1,65000
2007,11,13~18,高雄市,2,64000
2007,11,13~18,台北市,2,63000
2007,11,19~64,嘉義縣,3,10010
2007,11,19~64,桃園市,7,68000
2007,11,19~64,南投縣,1,10008
2007,11,19~64,彰化縣,2,10007
2007,11,19~64,宜蘭縣,3,10002
2007,11,19~64,新北市,4,65000
2007,11,19~64,新竹市,6,10018
2007,11,19~64,新竹縣,1,10004
2007,11,19~64,花蓮縣,1,10015
2007,11,19~64,苗栗縣,1,10005
2007,11,19~64,高雄市,12,64000
2007,11,19~64,台北市,13,63000
2007,11,19~64,台中市,5,66000
2007,11,19~64,台南市,2,67000
2007,11,19~64,台東縣,2,10014
2007,11,19~64,基隆市,1,10017
2007,11,65+,南投縣,1,10008
2007,11,65+,宜蘭縣,1,10002
2007,11,65+,新北市,1,65000
2007,11,65+,新竹市,1,10018
2007,11,65+,高雄市,3,64000
2007,11,65+,台北市,2,63000
2007,11,65+,台中市,2,66000
2007,11,65+,台南市,1,67000
2007,11,7~12,新北市,1,65000
2007,11,7~12,新竹市,1,10018
2007,11,7~12,台北市,2,63000
2007,12,0~6,嘉義縣,2,10010
2007,12,0~6,桃園市,6,68000
2007,12,0~6,屏東縣,2,10013
2007,12,0~6,南投縣,1,10008
2007,12,0~6,彰化縣,4,10007
2007,12,0~6,宜蘭縣,2,10002
2007,12,0~6,新北市,7,65000
2007,12,0~6,新竹市,6,10018
2007,12,0~6,高雄市,7,64000
2007,12,0~6,台北市,5,63000
2007,12,0~6,台東縣,4,10014
2007,12,0~6,雲林縣,2,10009
2007,12,13~18,新竹市,2,10018
2007,12,13~18,高雄市,1,64000
2007,12,13~18,台北市,1,63000
2007,12,13~18,台中市,1,66000
2007,12,13~18,台南市,1,67000
2007,12,19~64,桃園市,7,68000
2007,12,19~64,屏東縣,1,10013
2007,12,19~64,南投縣,1,10008
2007,12,19~64,彰化縣,2,10007
2007,12,19~64,宜蘭縣,3,10002
2007,12,19~64,新北市,3,65000
2007,12,19~64,新竹市,8,10018
2007,12,19~64,花蓮縣,1,10015
2007,12,19~64,苗栗縣,1,10005
2007,12,19~64,高雄市,18,64000
2007,12,19~64,台北市,26,63000
2007,12,19~64,台中市,3,66000
2007,12,19~64,台南市,1,67000
2007,12,19~64,台東縣,2,10014
2007,12,65+,屏東縣,1,10013
2007,12,65+,彰化縣,2,10007
2007,12,65+,宜蘭縣,1,10002
2007,12,65+,新竹市,2,10018
2007,12,65+,花蓮縣,1,10015
2007,12,65+,高雄市,2,64000
2007,12,65+,台北市,5,63000
2007,12,65+,基隆市,1,10017
2007,12,7~12,新竹市,2,10018
2007,12,7~12,高雄市,2,64000
2007,12,7~12,台北市,2,63000
2007,12,7~12,台東縣,1,10014
2007,12,7~12,基隆市,1,10017
2007,13,0~6,嘉義縣,3,10010
2007,13,0~6,桃園市,6,68000
2007,13,0~6,彰化縣,2,10007
2007,13,0~6,新北市,11,65000
2007,13,0~6,新竹市,3,10018
2007,13,0~6,苗栗縣,2,10005
2007,13,0~6,高雄市,5,64000
2007,13,0~6,台北市,9,63000
2007,13,0~6,台中市,1,66000
2007,13,0~6,台東縣,1,10014
2007,13,0~6,雲林縣,2,10009
2007,13,0~6,基隆市,2,10017
2007,13,13~18,嘉義縣,1,10010
2007,13,13~18,屏東縣,1,10013
2007,13,13~18,彰化縣,1,10007
2007,13,13~18,新北市,1,65000
2007,13,13~18,新竹市,2,10018
2007,13,13~18,花蓮縣,1,10015
2007,13,13~18,高雄市,1,64000
2007,13,13~18,台北市,4,63000
2007,13,19~64,嘉義縣,7,10010
2007,13,19~64,桃園市,8,68000
2007,13,19~64,屏東縣,2,10013
2007,13,19~64,彰化縣,4,10007
2007,13,19~64,宜蘭縣,2,10002
2007,13,19~64,新北市,4,65000
2007,13,19~64,新竹市,7,10018
2007,13,19~64,花蓮縣,2,10015
2007,13,19~64,高雄市,20,64000
2007,13,19~64,台北市,21,63000
2007,13,19~64,台中市,3,66000
2007,13,19~64,台南市,1,67000
2007,13,19~64,台東縣,1,10014
2007,13,19~64,雲林縣,1,10009
2007,13,19~64,基隆市,2,10017
2007,13,65+,嘉義市,1,10020
2007,13,65+,嘉義縣,3,10010
2007,13,65+,桃園市,1,68000
2007,13,65+,新北市,1,65000
2007,13,65+,高雄市,4,64000
2007,13,65+,台東縣,1,10014
2007,13,7~12,嘉義縣,1,10010
2007,13,7~12,桃園市,4,68000
2007,13,7~12,屏東縣,1,10013
2007,13,7~12,彰化縣,1,10007
2007,13,7~12,新北市,1,65000
2007,13,7~12,新竹市,1,10018
2007,13,7~12,高雄市,1,64000
2007,13,7~12,台北市,3,63000
2007,13,7~12,台中市,1,66000
2007,14,0~6,嘉義縣,1,10010
2007,14,0~6,桃園市,9,68000
2007,14,0~6,彰化縣,4,10007
2007,14,0~6,新北市,5,65000
2007,14,0~6,新竹市,4,10018
2007,14,0~6,高雄市,11,64000
2007,14,0~6,台北市,12,63000
2007,14,0~6,台中市,2,66000
2007,14,0~6,台東縣,2,10014
2007,14,0~6,基隆市,2,10017
2007,14,13~18,嘉義縣,1,10010
2007,14,13~18,桃園市,2,68000
2007,14,13~18,彰化縣,1,10007
2007,14,13~18,宜蘭縣,1,10002
2007,14,13~18,新竹市,1,10018
2007,14,13~18,花蓮縣,1,10015
2007,14,13~18,苗栗縣,1,10005
2007,14,13~18,台北市,2,63000
2007,14,19~64,嘉義縣,5,10010
2007,14,19~64,桃園市,11,68000
2007,14,19~64,屏東縣,5,10013
2007,14,19~64,南投縣,2,10008
2007,14,19~64,彰化縣,4,10007
2007,14,19~64,新北市,1,65000
2007,14,19~64,新竹市,11,10018
2007,14,19~64,花蓮縣,2,10015
2007,14,19~64,高雄市,22,64000
2007,14,19~64,台北市,27,63000
2007,14,19~64,台中市,7,66000
2007,14,19~64,台南市,1,67000
2007,14,19~64,台東縣,3,10014
2007,14,65+,嘉義市,1,10020
2007,14,65+,嘉義縣,1,10010
2007,14,65+,桃園市,1,68000
2007,14,65+,新竹市,1,10018
2007,14,65+,高雄市,2,64000
2007,14,65+,台北市,5,63000
2007,14,65+,台南市,1,67000
2007,14,65+,基隆市,1,10017
2007,14,7~12,桃園市,5,68000
2007,14,7~12,屏東縣,3,10013
2007,14,7~12,彰化縣,1,10007
2007,14,7~12,新竹市,2,10018
2007,14,7~12,高雄市,1,64000
2007,14,7~12,台北市,7,63000
2007,14,7~12,台東縣,2,10014
2007,14,7~12,基隆市,2,10017
2007,15,0~6,嘉義縣,4,10010
2007,15,0~6,桃園市,5,68000
2007,15,0~6,屏東縣,1,10013
2007,15,0~6,彰化縣,1,10007
2007,15,0~6,宜蘭縣,1,10002
2007,15,0~6,新北市,7,65000
2007,15,0~6,新竹市,3,10018
2007,15,0~6,高雄市,4,64000
2007,15,0~6,台北市,10,63000
2007,15,0~6,台中市,1,66000
2007,15,0~6,基隆市,1,10017
2007,15,13~18,桃園市,2,68000
2007,15,13~18,南投縣,1,10008
2007,15,13~18,宜蘭縣,1,10002
2007,15,13~18,新北市,1,65000
2007,15,13~18,新竹市,2,10018
2007,15,13~18,高雄市,1,64000
2007,15,13~18,台北市,5,63000
2007,15,13~18,台東縣,1,10014
2007,15,19~64,嘉義市,2,10020
2007,15,19~64,嘉義縣,4,10010
2007,15,19~64,桃園市,9,68000
2007,15,19~64,彰化縣,6,10007
2007,15,19~64,宜蘭縣,5,10002
2007,15,19~64,新北市,7,65000
2007,15,19~64,新竹市,12,10018
2007,15,19~64,花蓮縣,1,10015
2007,15,19~64,苗栗縣,1,10005
2007,15,19~64,高雄市,19,64000
2007,15,19~64,台北市,24,63000
2007,15,19~64,台中市,6,66000
2007,15,19~64,台南市,3,67000
2007,15,19~64,台東縣,2,10014
2007,15,19~64,基隆市,3,10017
2007,15,65+,嘉義市,1,10020
2007,15,65+,嘉義縣,1,10010
2007,15,65+,花蓮縣,1,10015
2007,15,65+,台北市,6,63000
2007,15,7~12,桃園市,1,68000
2007,15,7~12,彰化縣,1,10007
2007,15,7~12,新北市,2,65000
2007,15,7~12,新竹市,1,10018
2007,15,7~12,高雄市,4,64000
2007,15,7~12,台北市,5,63000
2007,15,7~12,台東縣,1,10014
2007,15,7~12,基隆市,2,10017
2007,16,0~6,嘉義縣,2,10010
2007,16,0~6,桃園市,2,68000
2007,16,0~6,彰化縣,2,10007
2007,16,0~6,新北市,4,65000
2007,16,0~6,新竹市,4,10018
2007,16,0~6,高雄市,6,64000
2007,16,0~6,台北市,20,63000
2007,16,0~6,台中市,3,66000
2007,16,0~6,台南市,1,67000
2007,16,0~6,台東縣,3,10014
2007,16,0~6,基隆市,1,10017
2007,16,13~18,桃園市,4,68000
2007,16,13~18,彰化縣,1,10007
2007,16,13~18,高雄市,3,64000
2007,16,13~18,台北市,5,63000
2007,16,19~64,嘉義市,1,10020
2007,16,19~64,嘉義縣,1,10010
2007,16,19~64,桃園市,9,68000
2007,16,19~64,屏東縣,1,10013
2007,16,19~64,彰化縣,3,10007
2007,16,19~64,宜蘭縣,2,10002
2007,16,19~64,新北市,5,65000
2007,16,19~64,新竹市,5,10018
2007,16,19~64,花蓮縣,3,10015
2007,16,19~64,高雄市,17,64000
2007,16,19~64,台北市,31,63000
2007,16,19~64,台中市,6,66000
2007,16,19~64,台南市,4,67000
2007,16,19~64,台東縣,4,10014
2007,16,19~64,基隆市,4,10017
2007,16,65+,嘉義縣,1,10010
2007,16,65+,桃園市,1,68000
2007,16,65+,彰化縣,1,10007
2007,16,65+,宜蘭縣,1,10002
2007,16,65+,新北市,1,65000
2007,16,65+,高雄市,4,64000
2007,16,65+,台北市,8,63000
2007,16,65+,基隆市,1,10017
2007,16,7~12,嘉義縣,1,10010
2007,16,7~12,桃園市,1,68000
2007,16,7~12,新竹市,2,10018
2007,16,7~12,高雄市,1,64000
2007,16,7~12,台北市,4,63000
2007,16,7~12,基隆市,1,10017
2007,17,0~6,嘉義縣,4,10010
2007,17,0~6,桃園市,10,68000
2007,17,0~6,屏東縣,1,10013
2007,17,0~6,彰化縣,2,10007
2007,17,0~6,新北市,4,65000
2007,17,0~6,新竹市,8,10018
2007,17,0~6,高雄市,6,64000
2007,17,0~6,台北市,11,63000
2007,17,0~6,台中市,4,66000
2007,17,0~6,台東縣,1,10014
2007,17,13~18,桃園市,4,68000
2007,17,13~18,宜蘭縣,2,10002
2007,17,13~18,新北市,3,65000
2007,17,13~18,高雄市,3,64000
