確定病名,發病年份,發病週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,死亡病例數,縣市別代碼,鄉鎮別代碼
19SC,2025,27,彰化縣,社頭鄉,F,0,70+,1,10007,10007170
19SC,2025,27,嘉義縣,太保市,F,0,65~69,1,10010,10010010
19SC,2025,27,屏東縣,恆春鎮,M,0,45~49,1,10013,10013040
19SC,2025,27,屏東縣,恆春鎮,M,0,70+,1,10013,10013040
19SC,2025,27,屏東縣,新園鄉,M,0,70+,1,10013,10013170
19SC,2025,27,屏東縣,萬丹鄉,F,0,70+,1,10013,10013050
19SC,2025,27,台東縣,長濱鄉,M,0,70+,1,10014,10014080
19SC,2025,27,花蓮縣,花蓮市,M,0,60~64,1,10015,10015010
19SC,2025,27,台北市,中山區,M,0,70+,1,63000,63000040
19SC,2025,27,台北市,士林區,M,0,70+,1,63000,63000110
19SC,2025,27,台北市,文山區,F,0,70+,1,63000,63000082
19SC,2025,27,台北市,文山區,F,0,70+,1,63000,63000080
19SC,2025,27,台北市,文山區,F,0,70+,1,63000,63000081
19SC,2025,27,高雄市,楠梓區,F,0,70+,1,64000,64000040
19SC,2025,27,高雄市,苓雅區,M,0,60~64,1,64000,64000080
19SC,2025,27,新北市,新店區,M,0,70+,1,65000,65000060
19SC,2025,27,新北市,樹林區,M,0,70+,1,65000,65000070
19SC,2025,27,新北市,蘆洲區,M,0,70+,1,65000,65000140
19SC,2025,27,台中市,大里區,F,0,70+,1,66000,66000280
19SC,2025,27,台中市,梧棲區,F,0,70+,1,66000,66000140
19SC,2025,27,台中市,梧棲區,M,0,70+,1,66000,66000140
19SC,2025,27,台中市,潭子區,F,0,60~64,1,66000,66000170
19SC,2025,27,台中市,西區,M,0,70+,1,66000,66000040
19SC,2025,27,台南市,關廟區,M,0,70+,2,67000,67000290
19SC,2025,27,桃園市,平鎮區,F,0,70+,1,68000,68000100
19SC,2025,27,桃園市,桃園區,F,0,70+,1,68000,68000010
19SC,2025,27,桃園市,龍潭區,M,0,55~59,1,68000,68000090
19SC,2025,27,桃園市,龍潭區,F,0,70+,1,68000,68000090
19SC,2025,28,彰化縣,二林鎮,F,0,70+,1,10007,10007200
19SC,2025,28,雲林縣,元長鄉,M,0,70+,1,10009,10009170
19SC,2025,28,嘉義縣,新港鄉,F,0,70+,1,10010,10010070
19SC,2025,28,台北市,信義區,F,0,70+,1,63000,63000020
19SC,2025,28,台北市,松山區,M,0,70+,1,63000,63000010
19SC,2025,28,高雄市,岡山區,F,0,70+,1,64000,64000190
19SC,2025,28,高雄市,鳳山區,M,0,70+,1,64000,64000120
19SC,2025,28,新北市,三峽區,M,0,70+,1,65000,65000090
19SC,2025,28,新北市,三重區,F,0,70+,1,65000,65000020
19SC,2025,28,新北市,五股區,M,0,60~64,1,65000,65000150
19SC,2025,28,新北市,板橋區,M,0,45~49,1,65000,65000010
19SC,2025,28,台中市,太平區,M,0,70+,1,66000,66000270
19SC,2025,28,台南市,善化區,M,0,70+,1,67000,67000190
19SC,2025,28,台南市,安南區,M,0,70+,1,67000,67000350
19SC,2025,28,台南市,安定區,F,0,45~49,1,67000,67000210
19SC,2025,28,台南市,新營區,M,0,70+,1,67000,67000010
19SC,2025,28,台南市,東山區,M,0,60~64,1,67000,67000060
19SC,2025,28,台南市,永康區,F,0,70+,1,67000,67000310
19SC,2025,28,桃園市,桃園區,M,0,60~64,1,68000,68000010
19SC,2025,28,桃園市,桃園區,F,0,70+,2,68000,68000010
19SC,2025,28,桃園市,龍潭區,F,0,70+,1,68000,68000090
19SC,2025,29,新竹縣,新豐鄉,M,0,60~64,1,10004,10004060
19SC,2025,29,彰化縣,員林市,M,0,65~69,1,10007,10007100
19SC,2025,29,基隆市,七堵區,F,0,70+,1,10017,10017020
19SC,2025,29,新竹市,東區,M,0,70+,1,10018,10018010
19SC,2025,29,高雄市,田寮區,M,0,70+,1,64000,64000220
19SC,2025,29,新北市,土城區,M,0,0~4,1,65000,65000130
19SC,2025,29,新北市,淡水區,F,0,70+,1,65000,65000100
19SC,2025,29,台南市,南區,M,0,70+,1,67000,67000330
19SC,2025,29,台南市,安平區,F,0,70+,1,67000,67000360
19SC,2025,30,宜蘭縣,羅東鎮,M,0,60~64,1,10002,10002020
19SC,2025,30,彰化縣,芳苑鄉,F,0,70+,1,10007,10007230
19SC,2025,30,南投縣,國姓鄉,M,0,70+,1,10008,10008100
19SC,2025,30,南投縣,草屯鎮,F,0,70+,1,10008,10008030
19SC,2025,30,台東縣,台東市,M,0,55~59,1,10014,10014010
19SC,2025,30,花蓮縣,花蓮市,M,0,70+,1,10015,10015010
19SC,2025,30,台北市,松山區,F,0,70+,1,63000,63000010
19SC,2025,30,高雄市,前金區,F,0,70+,1,64000,64000070
19SC,2025,30,新北市,土城區,F,0,70+,1,65000,65000130
19SC,2025,30,台南市,仁德區,M,0,70+,1,67000,67000270
19SC,2025,30,台南市,南區,F,0,70+,1,67000,67000330
19SC,2025,30,台南市,永康區,F,0,70+,1,67000,67000310
19SC,2025,30,桃園市,桃園區,M,0,70+,1,68000,68000010
19SC,2025,31,雲林縣,東勢鄉,F,0,65~69,1,10009,10009140
19SC,2025,31,嘉義縣,大林鎮,F,0,70+,1,10010,10010040
19SC,2025,31,花蓮縣,花蓮市,M,0,70+,1,10015,10015010
19SC,2025,31,基隆市,安樂區,F,0,70+,1,10017,10017060
19SC,2025,31,高雄市,三民區,F,0,70+,1,64000,64000052
19SC,2025,31,高雄市,三民區,F,0,70+,1,64000,64000051
19SC,2025,31,高雄市,三民區,F,0,70+,1,64000,64000050
19SC,2025,31,高雄市,大寮區,M,0,70+,1,64000,64000140
19SC,2025,31,高雄市,大社區,M,0,70+,1,64000,64000160
19SC,2025,31,台中市,清水區,M,0,70+,1,66000,66000120
19SC,2025,31,台中市,神岡區,F,0,70+,1,66000,66000160
19SC,2025,31,台南市,東區,F,0,60~64,1,67000,67000320
19SC,2025,31,桃園市,大園區,M,0,50~54,1,68000,68000060
19SC,2025,32,嘉義市,西區,F,0,60~64,1,10020,10020020
19SC,2025,32,新北市,三重區,F,0,70+,1,65000,65000020
19SC,2025,32,台南市,安南區,M,0,70+,1,67000,67000350
19SC,2025,32,桃園市,八德區,F,0,70+,1,68000,68000080
19SC,2025,32,桃園市,桃園區,M,0,70+,1,68000,68000010
19SC,2025,33,雲林縣,虎尾鎮,M,0,70+,1,10009,10009030
19SC,2025,33,屏東縣,屏東市,M,0,70+,1,10013,10013010
19SC,2025,33,屏東縣,恆春鎮,M,0,70+,1,10013,10013040
19SC,2025,33,台北市,松山區,F,0,70+,1,63000,63000010
19SC,2025,33,台南市,新化區,M,0,70+,1,67000,67000180
19SC,2025,34,宜蘭縣,三星鄉,F,0,60~64,1,10002,10002100
19SC,2025,34,彰化縣,埤頭鄉,F,0,70+,1,10007,10007220
19SC,2025,34,南投縣,草屯鎮,F,0,70+,1,10008,10008030
19SC,2025,34,南投縣,鹿谷鄉,F,0,70+,1,10008,10008070
19SC,2025,34,台北市,大安區,F,0,70+,1,63000,63000030
19SC,2025,34,高雄市,鹽埕區,M,0,70+,1,64000,64000010
19SC,2025,34,台中市,大甲區,F,0,70+,1,66000,66000110
19SC,2025,34,台南市,佳里區,F,0,70+,1,67000,67000120
19SC,2025,36,南投縣,草屯鎮,M,0,70+,1,10008,10008030
19SC,2025,36,新北市,板橋區,F,0,70+,1,65000,65000010
19SC,2025,36,台中市,大甲區,M,0,70+,1,66000,66000110
19SC,2025,37,台北市,文山區,M,0,70+,1,63000,63000080
19SC,2025,37,台北市,文山區,M,0,70+,1,63000,63000082
19SC,2025,37,台北市,文山區,M,0,70+,1,63000,63000081
19SC,2025,37,台北市,萬華區,F,0,70+,1,63000,63000071
19SC,2025,37,台北市,萬華區,F,0,70+,1,63000,63000072
19SC,2025,37,台北市,萬華區,F,0,70+,1,63000,63000070
19SC,2025,37,新北市,板橋區,M,0,70+,1,65000,65000010
19SC,2025,37,新北市,汐止區,F,0,70+,1,65000,65000110
19SC,2025,37,新北市,泰山區,M,0,70+,1,65000,65000160
19SC,2025,37,台中市,大里區,M,0,70+,1,66000,66000280
19SC,2025,38,屏東縣,高樹鄉,F,0,70+,1,10013,10013110
