年,週,年齡別,縣市,類流感急診就診人次,縣市別代碼
2007,02,19~64,新竹縣,61,10004
2007,02,19~64,花蓮縣,73,10015
2007,02,19~64,苗栗縣,35,10005
2007,02,19~64,高雄市,598,64000
2007,02,19~64,台北市,724,63000
2007,02,19~64,台中市,647,66000
2007,02,19~64,台南市,269,67000
2007,02,19~64,台東縣,26,10014
2007,02,19~64,雲林縣,74,10009
2007,02,19~64,基隆市,29,10017
2007,02,65+,嘉義市,11,10020
2007,02,65+,嘉義縣,29,10010
2007,02,65+,桃園市,126,68000
2007,02,65+,屏東縣,36,10013
2007,02,65+,南投縣,40,10008
2007,02,65+,彰化縣,73,10007
2007,02,65+,宜蘭縣,42,10002
2007,02,65+,新北市,105,65000
2007,02,65+,新竹市,16,10018
2007,02,65+,新竹縣,13,10004
2007,02,65+,花蓮縣,36,10015
2007,02,65+,苗栗縣,21,10005
2007,02,65+,高雄市,180,64000
2007,02,65+,台北市,204,63000
2007,02,65+,台中市,196,66000
2007,02,65+,台南市,93,67000
2007,02,65+,台東縣,14,10014
2007,02,65+,雲林縣,24,10009
2007,02,65+,基隆市,20,10017
2007,02,7~12,嘉義市,36,10020
2007,02,7~12,嘉義縣,63,10010
2007,02,7~12,桃園市,120,68000
2007,02,7~12,屏東縣,83,10013
2007,02,7~12,南投縣,69,10008
2007,02,7~12,彰化縣,85,10007
2007,02,7~12,宜蘭縣,36,10002
2007,02,7~12,新北市,158,65000
2007,02,7~12,新竹市,49,10018
2007,02,7~12,新竹縣,46,10004
2007,02,7~12,花蓮縣,26,10015
2007,02,7~12,苗栗縣,33,10005
2007,02,7~12,高雄市,325,64000
2007,02,7~12,台北市,264,63000
2007,02,7~12,台中市,283,66000
2007,02,7~12,台南市,212,67000
2007,02,7~12,台東縣,15,10014
2007,02,7~12,雲林縣,106,10009
2007,02,7~12,基隆市,39,10017
2007,03,0~6,嘉義市,90,10020
2007,03,0~6,嘉義縣,117,10010
2007,03,0~6,未填寫,4,88888
2007,03,0~6,桃園市,352,68000
2007,03,0~6,屏東縣,171,10013
2007,03,0~6,南投縣,95,10008
2007,03,0~6,彰化縣,213,10007
2007,03,0~6,宜蘭縣,81,10002
2007,03,0~6,新北市,357,65000
2007,03,0~6,新竹市,129,10018
2007,03,0~6,新竹縣,78,10004
2007,03,0~6,花蓮縣,53,10015
2007,03,0~6,苗栗縣,67,10005
2007,03,0~6,高雄市,656,64000
